PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC50_Mean_Qualifier,IC50_Mean,IC50_Qualifier_1,IC50_1,Std.Err(IC50)_1,nH_1,Excluded_Points_first_point,% Activity at 100 uM_first_point,% Activity at 50 uM_first_point,% Activity at 25 uM_first_point,% Activity at 12.5 uM_first_point,% Activity at 6.25 uM_first_point,% Activity at 3.125 uM_first_point,IC50_Qualifier_2,IC50_2,Std.Err(IC50)_2,nH_2,Excluded_Points_second_point,% Activity at 100 uM_second_point,% Activity at 50 uM_second_point,% Activity at 25 uM_second_point,% Activity at 12.5 uM_second_point,% Activity at 6.25 uM_second_point,% Activity at 3.125 uM_second_point
369,24808488,5740237,C1=CC=C(C=C1)/C=C/C2=NC(=NO2)C3=CC=NC=C3,Active,55,,,=,12.4,=,14.919,2.23,1.113,"0,0,0,0,0,0",89.3231,80.2613,78.5105,60.9536,35.1358,18.2151,=,9.922,1,1.145,"0,0,0,0,0,0",85.0343,87.3101,55.2068,52.4581,23.6052,15.5658
370,24807405,2842437,C1=CC(=CC=C1NC2=NC=C(C=C2)[N+](=O)[O-])Cl,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",22.6761,1.17399,48.6843,39.8929,19.4623,15.2531,>,100,,,"0,0,0,0,0,0",36.2239,43.1741,42.6477,34.0095,24.1713,4.58324
371,24789976,873426,CC1=C(C=CC(=C1)Br)NC(=O)C2=CC=CC=C2OC,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",28.9859,23.8645,31.8594,25.4417,14.3587,15.5609,>,100,,,"0,0,0,0,0,0",22.8989,12.253,33.089,26.0348,18.7523,13.148
372,24793955,2196832,C1=CC=C(C=C1)OC2=CC=C(C=C2)N/C=C/C(=O)C3=CC=CO3,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",8.96011,25.3002,-2.34851,16.201,13.2148,-1.47778,>,100,,,"0,0,0,0,0,0",10.813,4.4705,0.586605,10.9119,1.13556,2.42955
373,24708019,16066570,C1=CC(=CC=C1N2N=C(N=N2)C3=NC=CS3)F,Active,54,,,=,22.8,=,22.874,3.39,0.944,"0,0,0,0,0,0",86.3263,70.279,51.2497,35.2652,14.4851,14.6723,=,22.819,1.65,1.134,"0,0,0,0,0,0",85.625,71.1887,41.7273,35.6292,25.6208,17.9148
374,26665361,5357469,C1=CC=C(C=C1)/C=C/C2=NC3=CC=CC=C3C=C2,Active,53,,,=,24.8,=,24.323,5.06,0.974,"0,0,0,0,0,0",93.7891,59.8742,45.3389,31.0826,23.6052,20.8931,=,25.292,3.63,1.305,"0,0,0,0,0,0",94.0637,60.6987,56.0865,23.6949,17.4671,6.46538
375,26727740,2740991,C1=CC(=CC=C1COC2=CC=C(C=C2)C3=NN=CO3)F,Active,54,,,=,5.67,=,5.663,1.61,0.906,"0,0,0,0,0,0",77.3758,84.0488,83.1306,76.3438,55.3018,28.3002,=,5.669,2.13,0.531,"0,0,0,0,0,0",72.0181,77.9851,69.5527,71.5093,52.0202,34.4222
376,26727779,5703185,C1/C(=C/C2=CC=C(C=C2)C(F)(F)F)/C(=O)C3=C(S1)SC=C3,Inactive,41,,,=,69.4,>,100,,,"1,1,0,0,0,0",,,27.5581,16.5572,2.50977,7.0445,=,69.408,15.2,0.699,"0,1,0,0,0,0",59.1793,,27.6876,23.389,14.7351,16.0673
377,26664299,5376493,C1=CC=NC(=C1)/C=C/C2=CC(=CC=C2)[N+](=O)[O-],Active,52,,,=,39.8,=,41.529,6.32,0.779,"0,0,0,0,0,0",76.9068,41.1606,49.7126,30.6539,11.5197,14.6076,=,38.064,9.81,0.84,"0,0,0,0,0,0",63.5372,53.126,46.3501,29.5935,10.5551,14.0529
378,26666482,948806,C1=COC(=C1)C2=NN=C(O2)SCC3=CC=C(C=C3)F,Active,48,,,=,30.1,=,31.77,3.66,2.011,"0,0,0,0,0,0",88.681,76.1402,41.29,15.9898,14.886,9.18469,=,28.471,2.76,1.662,"0,0,0,0,0,0",87.8306,77.5411,32.1572,13.4671,15.9032,-3.70409
379,26664818,5819183,C1=CC(=CN=C1)/C=C(\C#N)/C2=CC=C(C=C2)Br,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",28.2557,22.1814,26.9783,22.2744,13.6423,6.61804,>,100,,,"0,0,0,0,0,0",38.4227,31.8714,29.0855,31.3597,10.4101,4.62244
380,24812563,16193707,C1=CC(=CC=C1CC2=NN=C(O2)C3=CC=C(C=C3)F)Cl,Active,54,,,=,20.2,=,23.115,7.73,0.95,"0,0,0,0,0,0",87.5899,78.5517,60.1909,34.2035,29.1168,16.9995,=,17.208,1.62,1.066,"0,0,0,0,0,0",63.65,80.9755,64.2446,18.455,22.5643,17.799
381,26728929,135472964,CC(C)(C)N=C1NN=C(CS1)C2=CC=C(C=C2)Cl,Active,55,,,=,13.9,=,14.47,2.42,0.996,"0,0,0,0,0,0",89.7171,83.1679,67.9234,46.9022,28.2189,18.1249,=,13.377,0.443,1.141,"0,0,0,0,0,0",89.1159,80.5352,59.4675,49.742,19.8819,28.0182
382,26728948,2820879,C1=CC(=CC=C1C2=NC(=NO2)C3=NC=CN=C3)Cl,Inactive,41,,,=,74.1,>,100,,,"0,0,0,0,0,0",45.8752,42.415,32.5273,44.1772,14.4071,10.8401,=,74.076,37.2,0.462,"0,0,0,0,0,0",51.6428,39.7157,42.2762,40.5646,26.8504,6.91239
383,24793933,5150753,C1=CC=C(C=C1)C2=NC(=NO2)C3=CC=C(O3)Br,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",29.2234,32.4125,39.4031,30.0476,24.6669,29.0671,>,100,,,"0,0,0,0,0,0",33.1684,40.3186,22.146,36.416,40.9813,34.6613
384,26725440,16745662,CC1(C(=O)C=C2C=C(OC=C2C1=O)/C=C/COC)OC(=O)C3CCCC3,Inactive,41,,,>,100,>,100,,,"1,0,0,0,0,0",,31.1934,24.1563,3.84951,7.74603,5.78887,>,100,,,"1,1,0,0,0,0",,,7.84366,20.7658,3.97056,-11.6768
385,49648714,24747895,COC1=C(C=C2C(=C1)C(=O)C3=C(S2)C=CC(=C3)C#CC4=CC=C(C=C4)N)OC,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",9.60624,18.4778,15.17,14.4754,0.224103,1.62915,>,100,,,"0,0,0,0,0,0",30.8343,19.7365,19.1111,16.776,3.75293,-0.893627
386,49669054,755590,CC(C)C1=CC=C(C=C1)C(=O)NC2=CC=C(C=C2)CN3CCOCC3,Active,59,,,=,3.18,=,3.19,0.312,1,"0,0,0,0,0,0",92.0345,89.0525,88.0379,81.968,67.4343,46.8924,=,3.175,0.438,0.944,"0,0,0,0,0,0",90.6921,89.6245,86.6541,82.3351,68.065,48.6516
387,49647185,16397018,C[C@]12CCCC(=C)C1C[C@H]3[C@@H](C2)OC(=O)C3CNCCN(C)C,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-20.7031,-0.834631,-5.01018,-9.66068,1.75778,-13.8956,>,100,,,"0,0,0,0,0,0",0.861084,4.7636,-13.1178,-3.07966,4.97927,-1.96214
388,49672039,2805017,COC(=O)C1=C(N(N=N1)C2=CC=CC(=C2)C#C)C3=CC=CC=C3,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",10.5433,2.23272,-17.1312,6.26183,-7.91922,-3.55566,>,100,,,"0,0,0,0,0,0",18.9758,1.32182,-7.81444,-3.26592,1.78255,-2.83459
389,49648975,4219209,C1CN(CCN1C2=CC=C(C=C2)F)C3=NC4=CC=CC=C4N=C3,Inactive,41,,,=,72.8,=,45.576,28.4,0.514,"0,0,0,0,0,0",37.9943,43.282,85.3951,55.513,31.8264,22.4215,>,100,,,"0,0,0,0,0,0",48.0916,49.5283,67.8671,30.0704,21.1513,13.5839
390,49667385,356301,C1=CC=C(C=C1)NC2=CC=C(C3=NON=C23)[N+](=O)[O-],Active,50,,,=,41.5,=,39.242,3.43,1.593,"0,0,0,0,0,0",80.8687,62.9761,26.5924,20.1114,1.77756,5.31195,=,43.768,3.31,1.494,"0,0,0,0,0,0",80.7789,51.8928,29.5795,16.2849,2.2727,8.08285
391,49647780,3826900,CC(=O)N1C(CC(=N1)C2=CC(=CC=C2)OC)C3=CC=CS3,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-7.28595,3.89898,-12.2234,4.28983,12.2095,5.83735,>,100,,,"0,0,0,0,0,0",-0.844611,1.33162,-0.0603835,-2.76597,-7.63799,-8.00069
392,49729857,24792743,CCCC1=CC2=NN=C(N2C(=N1)N)SCC(=O)N(C)C3CCCCC3,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-4.0405,3.61006,-5.06955,-9.15605,0.441789,-10.2544,>,100,,,"0,0,0,0,0,0",2.54718,1.09635,-1.57002,3.06673,5.44,-2.88361
393,49673041,4779693,COCCCNC(=O)COC1=CC2=C(C=C1)OC3=C2CCCC3,Inactive,41,,,>,100,>,100,,,"1,1,0,0,0,0",,,2.12387,10.6689,-1.08199,12.6479,>,100,,,"0,1,0,0,0,0",6.01739,,-0.0603835,-4.84418,5.5841,-5.01083
394,49671295,4883031,CC1(C(=O)N(C(=O)N1)CN2CCOCC2)C3=CC=C(C=C3)Cl,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-14.0044,18.7232,14.2963,13.6888,-6.60323,-4.36702,>,100,,,"0,0,0,0,0,0",0.949317,8.09266,16.5368,6.88494,11.6893,15.0811
395,49641746,785316,C1=CC=C(C=C1)C2=CSC(=N2)NC(=O)C3=CC=CC=C3F,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",19.2872,20.0095,21.4729,35.2542,20.2539,21.2394,>,100,,,"0,0,0,0,0,0",37.1081,28.9012,17.5799,24.5556,25.9976,16.7319
396,47199234,2951532,CC(C1=CC=CC=C1)NCC2=CC(=C(C(=C2)Br)OCC3=CC=C(C=C3)F)OC,Active,55,,,=,7.7,=,7.717,1.12,0.796,"0,1,0,0,0,0",84.7069,,71.7181,63.4259,45.6807,30.6304,=,7.683,0.722,0.788,"0,0,0,0,0,0",84.2111,77.0157,74.9665,66.4373,44.4236,28.9048
397,49736603,24793784,CCC1CCCCN1CCN2C(C34C=CC(O3)C(C4C2=O)C(=O)NC5=CC=C(C=C5)OC)C(=O)NC6CCCCC6,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",4.7153,10.7134,5.41781,-0.75547,-2.44746,-10.2247,>,100,,,"0,0,0,0,0,0",11.2619,12.9666,-0.501513,-9.56916,-7.11844,-9.59856
398,49731178,16001021,CN(CC(=O)NCCC1=CC=CC=C1)S(=O)(=O)C2=CC=C(S2)Br,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-6.78133,-9.92783,-12.263,-3.82282,-6.40533,2.14367,>,100,,,"0,0,0,0,0,0",-3.66784,-7.6968,-7.55956,4.90182,-11.1572,-11.0102
399,49723331,22510356,CC1=NN(C2=CC=CC=C12)C(=O)CCC(=O)NCC3=CC(=CC=C3)F,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-4.33735,10.3177,-2.85314,7.54913,3.86336,11.8187,>,100,,,"0,0,0,0,0,0",-1.22692,11.3727,1.01794,0.84148,-1.05047,2.67462
400,49719362,8264012,CC1=CC=C(C=C1)NC(=O)CSCC2=CC(=O)N3C=CSC3=N2,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",12.6993,-2.7344,-4.39671,-3.00156,4.1701,12.6578,>,100,,,"0,0,0,0,0,0",22.2352,7.11629,-0.168212,7.40155,1.01794,1.16497
401,49677709,886509,C1=COC(=C1)/C=[N+](/C2=CC=C(C=C2)Cl)\[O-],Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",23.905,30.2446,23.1263,-0.715894,-0.676318,-4.55502,>,100,,,"0,0,0,0,0,0",19.6679,19.5806,19.6875,15.9575,2.22368,-6.90278
402,49676667,7539173,CCC(=O)N1CCN(CC1)C2=NC3=C(S2)C=C(C=C3)Br,Inactive,41,,,=,58.6,=,56.155,9.16,1.089,"0,0,0,0,0,0",66.1662,44.7689,28.1093,25.4723,-1.77462,6.07779,=,61.08,3.3,1.424,"0,0,0,0,0,0",69.4536,38.8403,24.038,9.30429,5.22042,2.68441
403,49724427,24792145,C1CCCN(CC1)C(=O)C2=NOC(=C2)COC3=C(C=C(C=C3)F)Cl,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",35.3967,33.2387,31.2093,27.2168,15.0988,8.62171,>,100,,,"1,0,1,0,0,0",,43.0438,,11.6805,9.85031,13.3607
404,49717132,16003301,C1CN(CCN1CCC(=O)NC2=CC=C(C=C2)F)S(=O)(=O)C3=CC=C(C=C3)Cl,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",1.3521,15.3046,9.86646,6.35682,-1.96262,2.78682,>,100,,,"0,0,0,0,0,0",-3.74625,7.27902,1.9394,-4.71674,12.5304,1.9394
405,49823507,24818454,CC1=CC(=C(C=C1)C)NC(=O)/C(=C/C2=CC=CN2)/C#N,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",1.37189,6.86838,3.43987,6.40333,9.68143,8.98089,>,100,,,"0,0,0,0,0,0",-1.01126,12.8931,9.66406,11.5893,1.9198,3.61569
406,51085330,6243210,CCN(CC)CCOC(=O)C1=CC=C(C=C1)NC(=O)CCCN2C(=O)/C(=C\C3=CC=CS3)/SC2=S,Inactive,41,,,>,100,>,100,,,"1,0,0,0,0,0",,40.2896,16.2901,1.32241,15.262,-4.10976,>,100,,,"1,1,0,0,0,0",,,17.0907,17.9602,1.75315,14.9831
407,51086338,18562537,CC1=C(C=CC(=C1)F)S(=O)(=O)N2CCCOC2CNC(=O)C(=O)NCC3=CC4=C(C=C3)OCO4,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",3.70802,-9.90805,-4.67376,-14.3903,-15.1621,-13.1535,>,100,,,"0,0,0,0,0,0",-1.42298,-2.49149,7.6182,-3.60901,1.20419,10.1287
408,49816732,6468689,CN1C(=CC=N1)C(=O)N2CCC(CC2)CC3=CC=CC=C3,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",14.3705,12.4193,0.600101,8.9423,3.24494,-6.90007,>,100,,,"0,0,0,0,0,0",13.3215,-4.18738,-5.24609,6.62908,13.9009,1.5865
409,49823919,2093609,C1=CC(=C(C=C1NC(=O)NC2=NOC=C2)Cl)Cl,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",8.20713,12.7082,-14.143,21.9884,5.62857,-5.00028,>,100,,,"0,0,0,0,0,0",7.02121,8.37694,7.43979,23.741,-6.79495,9.65915
410,49676685,726005,COC1=CC2=CC=CC=C2C=C1C(=O)NC3=NC=CS3,Active,46,,,=,5.97,=,5.749,4.44,0.225,"0,0,0,0,0,0",61.6908,55.5205,68.1342,60.8992,49.8409,40.4895,=,6.183,4.85,0.292,"0,0,0,0,0,0",61.1261,62.6808,65.706,70.9476,44.77,38.0316
411,49722673,22513037,C1CN(CCN1C2=CC=CC=N2)C(=O)CCC(=O)N3CCOC4=CC=CC=C43,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-5.73249,-17.804,-15.6173,-9.65078,-6.05902,-13.1832,>,100,,,"0,0,0,0,0,0",0.292522,-11.8434,2.65501,0.174887,-0.285847,2.43935
412,47196168,4986684,CCC(C)(C)C1=NN=C(S1)NC(=O)CCC2CCCCC2,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-17.3093,0.985989,2.18325,-4.11966,1.57967,-13.0546,>,100,,,"0,0,0,0,0,0",6.14776,6.4791,-1.73667,0.194491,-7.36351,-0.530915
413,57268673,4591453,CC1=C(C=C(C=C1)NC(=O)COC(=O)C2(CC2(Cl)Cl)C)S(=O)(=O)N3CCOCC3,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-7.54322,-1.26999,-4.89145,-1.12157,8.09829,5.42277,>,100,,,"0,0,0,0,0,0",23.9321,9.76208,13.2019,12.3726,14.1195,6.91827
414,56323053,24982318,CC1=CC(=NO1)NC(=O)C(C)SCC(=O)OC(C)C(=O)NC2=C(C=CC(=C2)[N+](=O)[O-])OC,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-21.8311,8.95813,-7.84995,-3.82282,0.857363,2.53946,>,100,,,"0,0,0,0,0,0",-0.668163,8.99452,4.0078,-1.84451,-14.9705,-4.34424
415,56316809,24687635,CCOC(=O)C1=C(NC(=O)NC1C)COC(=O)C2=C(C=C(C=C2)Cl)[N+](=O)[O-],Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-11.5407,16.1486,-13.5889,-6.02933,0.609991,-5.01018,>,100,,,"0,0,0,0,0,0",-5.12846,-1.63865,11.5158,-5.28531,1.90019,1.63551
416,56314877,24978673,CC1=CC=C(C=C1)NC(=O)CSCC(=O)NC2=CC=CC=C2C(=O)N3CCCCC3,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-2.59588,10.94,-12.4708,0.906838,-1.55694,-7.63227,>,100,,,"0,0,0,0,0,0",-3.58941,-1.22692,7.75249,2.9491,-1.34455,1.73354
417,56319978,18109225,COC1=CC2=CC=CC=C2C=C1C(=O)NC3=CC=NC=C3,Inactive,41,,,=,52.3,=,55.107,12.6,1.003,"0,0,0,0,0,0",65.3619,52.2526,33.7389,18.1984,13.8989,1.13556,=,49.421,3.65,1.022,"0,0,0,0,0,0",70.5376,37.0956,32.0958,27.6897,11.8484,-5.01018
418,46500579,23640929,C1C2=C(C=CC(=C2)C#CC3=CC=CC=C3)N4C(=C5C=CC=CC5=N4)O1,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",44.6017,21.7005,19.1843,-16.8442,5.96401,1.38178,>,100,,,"1,0,0,0,0,0",,45.1141,33.7183,-8.80453,-0.981851,12.8755
419,56436732,82516,C1=CC=C(C=C1)C(=O)NC2=CC(=C(C=C2)Cl)Cl,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",30.4187,39.6099,44.6255,20.1886,11.1864,6.02832,>,100,,,"0,0,0,0,0,0",34.8231,39.1324,64.5895,41.4577,21.4647,0.596412
420,56463015,9794588,CC1=NC(=CC=C1)C#CC2=CC=CC=C2.Cl,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",32.2967,8.11313,14.1261,6.29845,13.5522,1.09484,>,100,,,"0,0,0,0,0,0",39.1765,29.7874,13.9165,21.3608,13.4764,1.61591
421,85145954,44141953,C1CN(CC2=CC=CC=C21)C(=O)C3=C(N=CN3)C(=O)N4CCC5=CC=CC=C5C4,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",2.92139,-5.28723,2.61861,2.91348,1.94577,-1.76473,>,100,,,"0,0,0,0,0,0",-4.38344,-4.42265,4.4509,4.98711,-0.315258,-0.452497
422,81066439,3747942,CCC(C1=CC=CC=C1)C(=O)N(C(C)C)C(C)C,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-3.28851,-4.18892,9.05708,2.42072,6.59627,1.12451,>,100,,,"0,0,0,0,0,0",0.312126,-0.0799878,0.586605,-6.70672,-6.2852,8.44556
423,85198155,25058387,C1=CC=C(C=C1)C2=NC=C3C=C(C=CC3=C2)F,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",38.2652,34.6368,33.9976,17.9811,4.50652,0.590203,>,100,,,"0,0,0,0,0,0",27.2131,28.5189,27.0288,14.5498,12.2657,6.77809
424,85268912,16249654,CC1=C(C=CO1)C2=NN=C(N2CC=C)SCC(=O)C3=C(N(C(=O)N(C3=O)C)C)N,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",17.9128,-8.127,9.25398,-6.08871,-9.50236,2.66809,>,100,,,"0,0,0,0,0,0",7.89758,15.1193,5.38707,4.50775,3.07654,5.55175
425,87334268,44601500,C1=CC2C(C=C1)OC3=C(C2=O)C=C(C=C3)Br,Inactive,41,,,=,81,>,100,,,"0,0,0,0,0,0",26.1383,63.9132,26.9585,21.5244,12.9467,23.7893,=,62.001,35,0.619,"0,0,0,0,0,0",49.0353,55.8561,49.2784,6.0664,21.4451,18.5415
426,87335263,6080793,CC/C(=C\C1=CC=C(C=C1)N(C)C)/C2=CC=NC=C2,Inactive,41,,,>,100,>,100,,,"1,1,1,0,0,0",,,,53.5287,33.0695,25.9146,>,100,,,"1,1,1,1,0,0",,,,,35.0927,16.6662
427,92763358,3197,CC1C(=O)N(C2CSC(C(C(=O)N(C(C(=O)OCC(C(=O)N1)NC(=O)C3=NC4=CC=CC=C4N=C3)C(C)C)C)N(C(=O)C(NC(=O)C(COC(=O)C(N(C2=O)C)C(C)C)NC(=O)C5=NC6=CC=CC=C6N=C5)C)C)SC)C,Inactive,41,,,=,81.5,>,100,,,"0,0,0,0,0,0",31.7129,31.044,32.8785,28.8563,10.7105,4.03256,=,81.506,41,0.546,"0,0,0,0,0,0",49.7068,37.8855,41.8439,38.1865,17.426,2.48836
428,89853251,234165,C1COCCN1C(CC(=O)C=CC2=CC=CC=C2)C3=CC=CC=C3,Active,47,,,=,10.9,=,10.013,0.804,1.986,"0,0,0,0,0,0",96.2687,96.9653,93.0095,53.8275,32.2205,9.06104,=,11.752,0.804,2.258,"0,0,0,0,0,0",96.7428,96.6987,89.0829,50.4263,18.2033,12.8314
429,89853209,8408,C1=CC2=C(C=CC(=C2)S(=O)(=O)O)C(=C1)N,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",33.018,29.1888,24.2108,0.461577,-18.8133,-0.537784,>,100,,,"1,0,0,0,0,0",,28.3571,7.75642,4.72048,-4.35403,1.73354
430,89850589,6379362,C1CC2C(N(N=C2/C(=C\C3=CC=CC=C3)/C1)C(=O)COC(=O)C4CCC(=O)N4)C5=CC=CC=C5,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-0.854419,16.9174,-8.83942,4.46001,-1.95273,3.70703,>,100,,,"0,0,0,0,0,0",-5.90288,-4.5697,-7.24588,8.86513,-6.2852,12.7069
431,89852435,219326,C1=CC=NC(=C1)C=CC2=CC=C(C=C2)Cl,Active,57,,,=,5.71,=,5.633,0.682,1.093,"0,0,0,0,0,0",94.5787,93.9207,75.8471,76.6625,53.4466,32.2175,=,5.795,0.618,1.02,"0,0,0,0,0,0",95.2028,94.0441,84.7549,62.9583,49.893,38.6433
432,89852906,220594,C1=CC2=C(C(=C1)N)C(=O)C3=C(C2=O)C=C(C=C3)Cl,Inactive,41,,,>,100,>,100,,,"0,0,0,1,0,0",41.9252,47.6156,30.1347,,18.0573,12.2936,>,100,,,"0,0,0,0,0,0",30.2775,41.8753,40.2499,36.0465,27.1739,14.6978
433,89855842,256445,C1=CC=C2C(=C1)C3=CC=CC=C3C2=CC4=CC=NC=C4,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",29.1235,35.7094,36.9996,19.6671,13.668,25.6346,>,100,,,"0,0,0,1,1,0",24.7046,40.694,23.1655,,,7.67701
434,89854478,264329,COC1=CC2=C(C=C1)C=C(C=C2)N3CCCC3=O,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",2.99461,0.303264,19.6701,2.0942,11.6643,-6.26681,>,100,,,"0,0,0,0,0,0",-12.0787,-14.6666,-4.72654,19.7149,-5.00102,3.49805
435,89850944,79529,CC1(C2=CC=CC=C2C(=O)C3=CC=CC=C31)C,Active,54,,,=,24,=,26.031,4.9,0.988,"0,0,0,0,0,0",90.6827,68.6106,52.9868,34.8466,17.2221,14.1351,=,21.908,1.75,1.151,"0,0,0,0,0,0",86.6907,67.2526,38.9123,28.1578,30.6314,12.3461
436,89850677,10295,C1=CC=C2C(=C1)C(=O)C3=CC=CC=C3S2,Inactive,41,,,=,59.3,=,40.232,3.77,1.038,"0,0,0,0,0,0",70.5812,58.9549,34.8387,25.2586,7.92908,11.2864,=,78.392,70.8,0.592,"0,0,0,0,0,0",33.4174,56.8991,59.0636,13.2176,13.844,3.6451
437,89855843,256447,C1=CC=C2C(=C1)C3=CC=CC=C3C2=CC4=CC=CC=N4,Inactive,41,,,=,59.4,=,18.843,1.06,1.1,"1,1,0,0,0,0",,,44.0064,17.8837,27.3406,7.42116,>,100,,,"1,1,0,0,0,0",,,56.3556,41.2929,22.0844,11.2913
438,92763860,434381,C1OC2=C(O1)C=C3C(=C2)C4=CC(C(C(C4NC3=O)O)O)O,Inactive,41,,,=,64.3,=,63.145,7.06,1.273,"0,0,0,0,0,0",68.1966,38.9053,19.1635,18.4343,4.96464,5.401,=,65.438,7.76,1.118,"0,0,0,0,0,0",63.8445,36.7327,29.7384,16.8447,4.24895,-1.52101
439,103050490,16288593,CCN(CC(=O)NC1=CC=CC=C1C(F)(F)F)C(=O)C2=CC=C(C=C2)NC(=O)C3=CC=CS3,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-1.00284,-4.36702,-1.08199,12.6459,-2.96199,-3.51609,>,100,,,"0,0,0,0,0,0",5.10278,3.34121,6.64673,7.00258,16.8123,3.63529
440,99361070,329201,C1=CC=NC(=C1)SCC2=CSC(=N2)C3=CC=C(C=C3)Cl,Inactive,41,,,=,59.1,=,18.181,3.05,1.02,"1,1,0,0,0,0",,,58.1637,13.1519,27.023,24.8879,>,100,,,"0,1,0,0,0,0",80.463,,66.2186,33.1348,28.0093,13.0209
441,99356017,278529,C=CCC1CCCCC1=C(C#N)C2=CC=CC=C2,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",0.817778,7.96767,0.253789,-2.24957,-7.15733,11.8405,>,100,,,"0,0,0,0,0,0",14.7713,1.87078,6.77123,-5.9715,-1.42298,1.59631
442,103159159,49792423,C1CN(CCC1C(=O)NC(C2=CC=C(C=C2)C3=CC=CC=C3)C4=NC=CN=C4)CCOC5=C(C=C(C=C5)Cl)Cl,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",9.60723,1.18389,12.6696,4.44814,3.99892,-8.90869,>,100,,,"0,0,0,0,0,0",16.18,7.11335,4.25876,-2.09938,-6.05973,8.00149
443,99355588,46902098,C[C@H]1CC[C@@H]2[C@H](C[C@@H](C3=C(C(=C(C1=C23)O[C@H]4[C@H]([C@@H]([C@@H]([C@@H](O4)C)OC(=O)C)O)O)O)C)C=C(C)C)C,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-8.91858,9.0086,1.65883,-6.66259,1.67862,1.22346,>,100,,,"0,0,0,0,0,0",-6.80475,3.58628,6.79966,-1.19752,-0.677961,1.53748
444,121285938,51361255,C1=CC(=CC=C1C2=C(N3C=C(C=CC3=N2)Cl)CC4=CSC=C4)F,Inactive,41,,,=,70.35,=,40.746,8.28,1.302,"1,1,0,0,0,0",,,36.5092,11.8344,11.0257,2.11585,>,100,,,"1,0,1,0,0,0",,57.0403,,17.5873,2.79672,12.3589
445,121284379,51359849,CC1=CC(=CN2C1=NC(=C2CC3=CSC=C3)C4=CC=CC=C4)Br,Inactive,41,,,>,100,>,100,,,"1,0,0,0,0,0",,27.856,15.2907,10.0535,6.96336,5.81262,>,100,,,"1,0,0,0,0,0",,37.2836,21.7294,9.79835,2.30211,11.406
446,121285267,51360603,C1=CC=C(C(=C1)CC2=C(N=C3N2C=C(C=C3)Br)C4=CC=C(C=C4)F)C(F)(F)F,Inactive,41,,,>,100,>,100,,,"1,1,0,0,0,0",,,38.09,39.4377,20.0362,17.7782,>,100,,,"1,1,0,0,0,0",,,44.8896,26.0721,20.8981,7.22804
