PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC50_Qualifier,IC50,Std.Err(IC50),nH,Excluded_Points_first_point,% Activity at 20 uM_first_point,% Activity at 10 uM_first_point,% Activity at 5 uM_first_point,% Activity at 2.5 uM_first_point,% Activity at 1.25 uM_first_point,% Activity at 0.625 uM_first_point,% Activity at 0.3125 uM_first_point,% Activity at 0.15625 uM_first_point,% Activity at 0.078125 uM_first_point,% Activity at 0.0390625 uM_first_point,Excluded_Points_second_point,% Activity at 20 uM_second_point,% Activity at 10 uM_second_point,% Activity at 5 uM_second_point,% Activity at 2.5 uM_second_point,% Activity at 1.25 uM_second_point,% Activity at 0.625 uM_second_point,% Activity at 0.3125 uM_second_point,% Activity at 0.15625 uM_second_point,% Activity at 0.078125 uM_second_point,% Activity at 0.0390625 uM_second_point,Excluded_Points_third_point,% Activity at 20 uM_third_point,% Activity at 10 uM_third_point,% Activity at 5 uM_third_point,% Activity at 2.5 uM_third_point,% Activity at 1.25 uM_third_point,% Activity at 0.625 uM_third_point,% Activity at 0.3125 uM_third_point,% Activity at 0.15625 uM_third_point,% Activity at 0.078125 uM_third_point,% Activity at 0.0390625 uM_third_point
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,"This qualifier is to be used with the next TID, IC50_1_Range1. If qualifier is =, the IC50 result equals the value in that column. If the qualifier is >, the IC50 result is greater than that value. If the qualifier is <, the IC50 result is smaller than that value",IC50 value determined using sigmoidal dose response equation,Standard Error of IC50 value,Hill coefficient determined using sigmoidal dose response equation,Flags to indicate which of the first dose-response points were excluded from analysis. (1) means the titration point was excluded and (0) means the point was not excluded.,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,Flags to indicate which of the first dose-response points were excluded from analysis. (1) means the titration point was excluded and (0) means the point was not excluded.,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,Flags to indicate which of the first dose-response points were excluded from analysis. (1) means the titration point was excluded and (0) means the point was not excluded.,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration
RESULT_UNIT,,,,,,,,NONE,MICROMOLAR,MICROMOLAR,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,46501331,23641158,C1CCC(CC1)CN2CCNC[C@H]2CC3=CC=CC4=CC=CC=C43,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",27.2831,26.522,16.7513,11.663,6.66233,5.60592,7.32201,2.39978,-3.96638,0.656005,"0,0,0,0,0,0,0,0,0,0",26.4897,24.1646,19.4685,8.57218,6.80995,5.37526,-2.17647,11.8198,-5.61789,-3.64807,"0,0,0,0,0,0,0,0,0,0",29.0961,31.2966,25.9961,6.83763,9.2457,7.8433,4.95547,5.8458,-5.8347,-3.30669
238,46501330,23641157,C1CN([C@@H](CN1)CC2=CC=CC3=CC=CC=C32)CCC4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F,Active,50,,,=,11.672,0.527,1.725,"0,0,0,0,0,0,0,0,0,0",74.5541,39.4619,18.5274,11.1325,-3.52351,-5.45643,-4.54302,-4.74139,0.374603,7.93095,"0,0,0,0,0,0,0,0,0,0",76.8561,40.0339,21.5951,9.85464,-3.72649,-5.53485,-7.08026,-6.62355,2.51049,0.614487,"0,0,0,0,0,0,0,0,0,0",68.4832,40.3061,25.83,7.64032,-0.478831,-7.44931,-5.10121,-3.03452,0.379216,-0.58032
239,57255489,135953398,CC[C@H](C)[C@@H](C(=O)N1CCN(CC1)C2=NC(=NC(=N2)NCCOCCOCCOCC#C)N3CCN(CC3)C(=O)[C@H]([C@@H](C)CC)N4C=C(N=N4)CCC[NH+]=C(N)N)N5C=C(N=N5)CCCC[NH3+].[Cl-],Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",24.8751,15.2382,15.2336,18.7396,2.27983,4.67406,2.09992,3.10559,-5.71938,-4.53379,"0,0,0,0,0,0,0,0,0,0",22.384,18.9472,13.3745,22.9468,4.03283,6.3717,1.30646,5.08925,-2.25028,-4.50612,"0,0,0,0,0,0,0,0,0,0",23.3066,17.8446,13.3283,17.7662,5.45369,6.42245,2.45975,5.43523,-5.34571,0.988152
240,56436683,24978587,CC[C@H](C)[C@@H](C(=O)NCCCCCCCCCCC(=O)N1CCN(CC1)C2=NC(=NC(=N2)NCCOCCOCCOCC#C)N3CCN(CC3)C(=O)CCCCCCCCCCNC(=O)[C@@H]([C@H](C)O)N4C=C(N=N4)C)N5C=C(N=N5)CCCCN=C(N)N,Active,51,,,=,5.575,0.402,1.735,"0,0,0,0,0,0,0,0,0,0",98.5241,77.8018,31.089,18.6934,12.7886,7.20207,7.52499,2.87493,4.85859,7.96324,"0,0,0,0,0,0,0,0,0,0",94.6029,78.3923,34.3274,25.281,14.7215,14.0388,6.46397,7.73258,-0.202042,6.51932,"0,0,0,0,0,0,0,0,0,0",96.0791,83.0054,33.8338,24.3307,16.636,16.2854,3.18401,9.30106,7.47425,8.63676
241,51085120,24891788,CCCCCCSC1=C(C=CC(=C1)C2=C(N3C=CC(=CC3=N2)C)NC4CCCCC4)OC.C(=O)(C(F)(F)F)O,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",13.4806,11.6492,14.5416,9.90999,3.9498,4.10203,-0.552642,-15.9421,-3.58348,-5.39184,"0,0,0,0,0,0,0,0,0,0",9.61014,16.4837,20.6171,16.5206,5.95191,3.96364,1.89694,1.29262,-6.30063,-5.27651,"0,0,0,0,0,0,0,0,0,0",18.3244,17.1065,4.54028,18.2967,6.48242,8.92278,2.86109,-0.151297,-6.15301,-5.41952
242,56463093,5702238,CC1=C(C=CC(=C1)C(C)(C)CC(C)(C)C)OCCOCC[N+](C)(C)CC2=CC=CC=C2.[Cl-],Active,56,,,=,8.92,0.64,0.944,"0,0,0,0,0,0,0,0,0,0",66.4996,52.9046,34.964,19.0809,9.98842,8.30923,5.00621,9.06578,-1.16619,2.52433,"0,0,0,0,0,0,0,0,0,0",69.9871,55.2158,39.4573,24.0862,14.966,11.9721,6.98525,12.2073,-4.30314,-3.50506,"0,0,0,0,0,0,0,0,0,0",68.6954,55.3034,37.6581,8.53066,13.0885,17.4848,0.388442,8.60447,0.596034,8.789
243,56320653,5280335,CCCCCCCCCCCCC/C=C/[C@H]([C@H](CO)N)O,Active,56,,,=,6.425,0.428,1.238,"0,0,0,0,0,0,0,0,0,0",86.1193,60.1611,44.684,17.0512,12.2719,13.5083,8.89971,10.5189,-1.872,8.64599,"0,0,0,0,0,0,0,0,0,0",88.2829,61.0007,35.5776,23.1175,16.2992,15.3766,7.32201,8.53989,-6.57742,-2.25489,"0,0,0,0,0,0,0,0,0,0",88.0107,62.1171,34.9548,26.0283,9.73931,6.89299,8.95968,7.5619,-8.28429,0.291566
244,57263459,16231627,CC1=C(OC2=CC=CC=C12)C(=O)NC3=CC=C(C=C3)S(=O)(=O)N(C)C4CCN(CC4)C,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",18.5274,10.053,3.58074,-0.732554,-7.76762,-5.77935,-4.44614,-2.40252,-7.3755,5.72125,"0,0,0,0,0,0,0,0,0,0",16.2669,10.3805,0.70675,0.176237,-5.86238,-3.81414,-10.9507,0.236208,-5.11505,0.711363,"0,0,0,0,0,0,0,0,0,0",16.6452,13.1807,6.98064,-2.04269,-7.08487,-0.215881,-0.524962,-7.34782,-0.428086,3.31779
245,57267635,16324977,COC1=CC=C(C=C1)C(CNC(=O)C2=CC=C(O2)C3=NC4=CC=CC=C4S3)N5CCCC5,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",27.9151,19.164,6.3717,7.27127,11.3216,13.7435,7.12826,6.95757,7.18823,7.24359,"0,0,0,0,0,0,0,0,0,0",27.1493,15.3535,-1.872,1.36643,2.21986,-1.48911,-3.14523,4.55873,3.40083,3.89905,"0,0,0,0,0,0,0,0,0,0",29.825,12.8716,3.29934,1.66629,4.3696,5.41217,0.0102,0.891276,1.29723,5.25071
246,85146471,44142332,CCC(=O)NC(C1=CC=CS1)C2=C(C3=CC=CC=C3C(=C2)Cl)O,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",15.515,16.4145,7.23436,1.79545,-0.368115,-3.13139,-10.0926,-2.0796,-6.06075,0.402282,"0,0,0,0,0,0,0,0,0,0",17.2449,10.2744,6.14566,8.97814,-3.41741,-5.42413,-4.2201,0.932794,2.06302,-2.95609,"0,0,0,0,0,0,0,0,0,0",17.3418,13.988,12.8024,7.08674,-4.26162,-4.36772,-4.29391,-2.61472,2.90722,5.10309
247,85146478,44142339,CC(=O)NC(C1=CC=CS1)C2=C(C3=CC=CC=C3C(=C2)Cl)O,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",26.7388,16.6775,5.94729,4.78478,-5.67786,-1.22616,-1.65057,-2.72544,-5.68247,-5.84393,"0,0,0,0,0,0,0,0,0,0",26.4712,16.0593,5.58285,4.96931,-4.52457,-5.23499,-10.6462,-8.61644,2.34442,5.28761,"0,0,0,0,0,0,0,0,0,0",29.9034,15.861,7.16055,6.14105,-5.52101,-2.25028,-7.4124,-4.52918,-4.26623,4.77555
248,85201062,44202147,CC[C@@H](C)C(C1=CN(N=N1)[C@@H](CCCN=C(N)N)C(=O)N2CCN(CC2)C3=NC(=NC(=N3)NCCOCCOCCOCC#C)N4CCN(CC4)C(=O)[C@H](CCCN=C(N)N)N5C=C(N=N5)C([C@@H](C)CC)N)N,Active,53,,,=,18.703,0.951,1.36,"0,0,0,0,0,0,0,0,0,0",52.6001,34.5442,15.7041,5.02466,-3.66652,-4.35388,-4.9582,-1.75667,-3.00223,1.43101,"0,0,0,0,0,0,0,0,0,0",47.0459,34.0875,11.1832,4.20813,-0.437313,0.60526,-4.8521,-1.11545,-5.98694,4.77094,"0,0,0,0,0,1,0,0,0,0",50.026,33.7231,12.664,5.8781,3.76527,,0.111653,0.632939,-2.11189,1.22804
249,85201129,44202214,CN1C=NC=C1C#CC2=C(SC3=CC4=C(C=C32)OCO4)C5=CC=CC=C5OC,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",37.7504,19.9298,11.5661,8.02783,-0.386568,-1.61367,0.125492,3.79756,2.6166,-3.625,"0,0,0,0,0,0,0,0,0,0",40.4491,19.6115,14.7031,14.6108,4.06051,4.72481,2.74115,4.67868,-2.26873,-4.51534,"0,0,0,0,0,0,0,0,0,0",37.8057,22.0841,14.7999,16.5114,2.5843,7.48347,4.3373,1.8831,-2.01501,-4.9213
250,85201173,44202257,CN(C)CCOC1=CC=C(C=C1)C2=C(SC3=C2C=C(C=C3)OC)C4=CC(=CC=C4)OC,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",40.915,26.8495,8.02321,5.26916,-5.867,-4.97204,-6.70198,-7.87372,-1.95504,1.20497,"0,0,0,0,0,0,0,0,0,0",49.3848,37.9303,9.99303,5.98881,-5.31342,-6.65585,-9.80202,-10.6601,-9.55291,1.59709,"0,0,0,0,0,0,0,0,0,0",42.0452,25.0319,11.7137,0.669844,-7.84143,-6.16685,-7.4124,-8.38116,-2.84999,2.67657
251,85147353,44143138,CC[C@@H](C)[C@@H]1CN(C(=N)N1CCCC2CCCC2)[C@@H](C)CN3CCC[C@H]3CN4[C@H](CN=C4N)CC5=CC=CC=C5,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",38.4008,32.4037,18.8733,17.1527,9.3518,7.45118,6.88376,7.63109,-2.27335,-2.5363,"0,0,0,0,0,0,0,0,0,0",39.2127,27.5553,20.8201,18.2183,12.4749,9.16266,2.60737,10.5235,-4.42769,-2.07037,"0,0,0,0,0,0,0,0,0,0",39.3927,33.331,16.1839,21.2307,7.75565,7.16517,4.08819,-3.53735,-4.39079,-0.760234
252,85272421,44246583,CCC[C@@H](CN1CCC[C@H]1CN2[C@@H](CN=C2N)CC(C)C)N3C[C@H](N(C3=N)CCCC4CCCC4)CC5=CC=CC=C5,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",35.3884,29.0407,18.2598,11.5061,3.97286,-2.98377,-2.00117,-0.174363,0.448413,5.62899,"0,0,0,0,0,0,0,0,0,0",34.7518,29.9911,13.8404,7.72797,-4.0448,-1.98272,-9.50677,-4.94437,-1.02318,1.91078,"0,0,0,0,0,0,0,0,0,0",34.0045,27.6706,19.2747,6.01188,-2.10266,1.00199,-2.87767,-1.36917,-2.5732,9.27799
253,7968807,5309613,CCCCN(CC)CCCNC(=O)C1=CC2=C(N1C)C3=CC=CC=C3N(C2=O)C,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",30.022,22.1617,15.9137,9.07189,12.0543,8.24978,7.65603,7.29522,-3.78498,-3.55662,"0,0,0,0,0,0,0,0,0,0",30.972,27.0395,14.1964,14.7399,6.57359,8.77958,3.66424,9.78438,-4.872,1.3532,"0,0,0,0,0,0,0,0,0,0",34.0275,24.2261,19.6954,14.6257,8.20411,3.88803,5.86566,2.96544,-2.69797,-0.450875
254,4243109,3237873,CC1=NC2=CC=CC=C2C(=O)N1NCC3=CC=C(C=C3)OC,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",38.0421,25.5232,5.03442,9.05362,4.53202,9.60626,4.56856,8.65626,5.14403,4.95221,"0,0,0,0,0,0,0,0,0,0",37.2565,25.1898,15.868,13.2738,6.52335,15.0139,1.96521,8.20867,7.86156,9.24544,"0,0,0,0,0,0,0,0,0,0",38.5171,27.0578,15.0322,11.1272,7.15363,9.19064,8.59689,22.6367,10.7663,8.42333
255,4240621,3235706,CCCCN1C(=O)C2=C(C=CS2)N=C1SCC(=O)NC3=NNC(=C3)C,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",32.5842,23.0889,16.7312,15.5528,-3.6297,0.681808,-3.35109,2.60006,1.8967,-3.84436,"0,0,0,0,0,0,0,0,0,0",34.2421,27.1583,16.5896,12.3238,-0.15857,5.35413,6.07576,6.59643,0.426041,0.613299,"0,0,0,0,0,0,0,0,0,0",36.1969,24.4864,18.6175,5.99811,13.4336,4.09356,5.4135,-0.971544,-1.84389,1.1568
256,7966425,5308223,CC1CCCCN1CCNC(=O)C2=CC3=C(N2C)C4=CC=CC=C4N(C3=O)C,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",24.0571,15.7127,3.94741,-1.61553,-7.36573,-4.52488,-9.32509,-5.02271,-2.98114,-1.03092,"0,0,0,0,0,0,0,0,0,0",17.8547,9.14496,3.01568,-5.25565,-2.27778,-4.47007,-6.1417,-0.688374,-9.23831,-2.82586,"0,0,0,0,0,0,0,0,0,0",15.6351,4.14837,0.814259,-3.73018,-11.3621,-8.17413,-7.18304,-8.87293,-0.30929,1.8693
257,17403232,1728272,CCCOC1=CC=C(C=C1)C(=O)NNC(=S)NC(=O)CC,Active,56,,,=,9.021,0.71,0.91,"0,0,0,0,0,0,0,0,0,0",60.9241,57.147,34.6166,25.3542,12.7988,8.80699,6.13056,6.50051,5.08923,5.53225,"0,0,0,0,0,0,0,0,0,0",62.4222,59.522,43.8562,20.2617,14.411,11.5519,7.34546,8.03055,5.81086,2.56809,"0,0,0,0,0,0,0,0,0,0",61.9792,57.2109,41.6685,20.3987,-0.131166,0.0835,-3.8946,7.19474,3.1253,6.07576
258,22413803,15945738,CC(=O)C1=CC=C(C=C1)OCC(CN2CCN(CC2)CCN3C(=O)C4=CC=CC5=C4C(=CC=C5)C3=O)O.Cl,Active,58,,,=,4.791,0.325,1.136,"0,0,0,0,0,0,0,0,0,0",73.5435,69.5928,56.0463,36.5851,15.8497,3.55919,-3.24605,-5.75348,-3.91287,0.39407,"0,0,0,0,0,0,0,0,0,0",69.6613,73.3471,56.4208,35.6717,14.4476,1.27555,-4.02705,-0.423472,-5.60276,-5.1506,"0,0,0,0,0,0,0,0,0,0",74.0368,71.2918,57.0237,38.0741,17.5122,7.33632,-0.734046,-1.79365,-2.98114,4.31736
259,24826878,2481995,C1=CC=C(C(=C1)C(=O)NCCC(=O)NC2=NC3=CC=CC=C3S2)Cl,Active,57,,,=,6.148,0.28,0.921,"0,0,0,0,0,0,0,0,0,0",74.9457,62.3217,43.3721,30.2458,23.573,1.17507,-0.245348,8.66997,2.02459,3.28972,"0,0,0,0,0,0,0,0,0,0",73.6394,63.459,47.5831,27.8708,22.1937,7.43224,5.94331,8.01685,0.0607,1.93324,"0,0,0,0,0,0,0,0,0,0",73.9728,61.6183,43.0387,27.5419,23.573,9.6428,9.59256,6.53705,2.38083,2.35343
260,24784808,1100740,CN1C(=C(C=N1)N=CC2=CC=CC=C2O)C(=O)NC3=CC=CC=C3OC,Active,53,,,=,10.496,0.6,1.494,"0,0,0,0,0,0,0,0,0,0",65.7609,53.2557,28.2362,13.1322,-10.4989,-2.87153,-4.52945,-5.79458,0.19311,3.91087,"0,0,0,0,0,0,0,0,0,0",69.0767,50.7802,27.4506,14.5024,-1.59269,-6.93184,-6.12343,-8.4299,-1.93981,6.04379,"0,0,0,0,0,0,0,0,0,0",67.533,52.324,24.0799,8.75218,-2.99941,-5.52968,-3.34196,-1.34149,-3.57032,-1.21361
261,24823145,16001289,CC(=O)NC1=CC=C(C=C1)NC2=NC(=S)NC3=CC(=C(C=C32)OC)OC,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",44.1394,32.2554,20.3256,9.77525,10.7709,3.68251,6.18994,10.2091,12.2873,1.22988,"0,0,0,0,0,0,0,0,0,0",45.8704,37.6539,14.8267,17.6995,14.4978,17.0738,11.4103,11.0175,8.53295,12.9404,"0,0,0,0,0,0,0,0,0,0",44.3495,33.1825,17.1149,15.0093,9.58342,14.5709,4.90197,4.94307,6.29499,9.66107
262,24824237,16195674,CC1=C(C=C(C=C1)C(=O)NCCN2[C@H](CN3C2=NC[C@@H]3CC4=CC=C(C=C4)O)CC5=CC=C(C=C5)OC)Br,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",14.5709,12.7485,3.56832,1.41257,-5.33786,-2.30062,-8.93687,-5.05012,-4.10013,-3.10446,"0,0,0,0,0,0,0,0,0,0",11.0632,11.2459,3.59573,1.15224,-9.46667,-6.96837,-11.7914,-5.77175,-7.63976,-7.4525,"0,0,0,0,0,0,0,0,0,0",12.6298,10.7344,5.86566,-0.96241,-6.19194,-3.71647,-4.54315,-11.1748,-9.00538,-7.44337
263,26730075,2745061,C1=CC(=CC=C1C(=O)NNC(=O)C2=NN(C=CC2=O)C3=CC=C(C=C3)F)Cl,Active,50,,,=,18.86,1.769,1.66,"0,0,0,0,0,0,0,0,0,0",51.3694,30.191,11.456,-5.21454,-13.1981,-8.4162,-6.94554,-7.68087,-2.03115,10.4055,"0,0,0,0,0,0,0,0,0,0",46.286,34.0229,5.1623,-0.71121,-9.36162,-8.39336,-8.22437,-7.80875,-4.19147,0.887335,"0,0,0,0,0,0,0,0,0,0",48.8757,32.1594,14.781,0.015,-12.4445,-7.8864,-8.43903,-4.46551,-7.13279,2.72795
264,26658574,16681765,CCC(C)(C)C1=CC(=C(C=C1)OCCCC[N+]2=CC=CC(=C2C)C)C(C)(C)CC.[Br-],Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",55.6352,44.2901,32.7395,23.0158,16.7129,5.8748,3.52265,5.80172,7.13536,5.69211,"0,0,0,0,0,0,0,0,0,0",53.9773,47.3091,33.4337,17.704,15.3793,6.55989,5.26278,9.4327,3.84236,-1.21818,"0,0,0,0,0,0,0,0,0,0",57.5169,45.0985,34.74,18.3846,8.46444,7.98031,4.20774,3.68251,2.86496,5.52768
265,26732697,16746643,CCOC(=O)C1=CC=C(C=C1)NC(=O)C2=C(NC=N2)C(=O)NC3CCN(CC3)C(=O)OC(C)(C)C,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",-5.76261,-5.61189,-7.49361,-7.25154,-15.3904,-6.00468,-9.30225,-8.86836,-10.1563,-2.62033,"0,0,0,0,0,0,0,0,0,0",-5.42007,-1.6749,-12.0929,-7.01405,-11.1611,-10.9967,-8.55322,-11.8462,-5.23281,-3.18667,"0,0,0,0,0,0,0,0,0,0",-4.70301,-6.72174,-13.6366,-3.49725,-6.6304,-10.2522,-12.9926,-10.6587,-7.29265,-1.46938
266,26732114,16746298,CCCCCC1=CC(=O)OC2=C1C(=CC(=C2C(CCN3CCCC(C3)C)C4=CC=C(C=C4)OC)OC)OC,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",21.673,18.4576,19.5903,12.575,7.53728,2.99742,2.56809,6.39547,7.8844,5.58249,"0,0,0,0,0,0,0,0,0,0",20.5357,20.0607,11.9082,7.1856,6.08032,6.57816,6.26302,7.65603,12.132,9.28655,"0,0,0,0,0,0,0,0,0,0",23.8744,22.148,12.2142,2.1342,7.32719,2.6092,0.325561,5.4135,7.10339,1.09286
267,49645577,17757275,C1CC(OC1)CNC2=NC(=NC3=CC=CC=C32)NC4=C(C=CC(=C4)Cl)O,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",20.2206,15.8086,9.03535,15.7264,13.155,6.22648,5.43177,2.42194,-3.80782,-2.66143,"0,0,0,0,0,0,0,0,0,0",19.773,15.9822,17.567,1.8693,-8.91403,10.4192,7.33176,6.59643,-8.35682,-2.01288,"0,0,0,0,0,0,0,0,0,0",25.1898,19.4305,10.4284,7.72454,5.89763,5.93874,8.70651,9.07189,-3.8946,-1.62923
268,49646913,16396124,C[C@]12CCCC[C@@H]1CCC3C2CC[C@]4(C3CC[C@]4(CNCCO)O)C,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",21.4218,12.7942,6.16254,10.2639,10.2776,6.3909,7.6743,12.1594,14.9774,9.03992,"0,0,0,0,0,0,0,0,0,0",10.7435,11.9949,7.27238,8.68824,8.03055,11.5428,7.56012,21.061,10.9764,7.59666,"0,0,0,0,0,0,0,0,0,0",17.1103,16.0278,2.36713,6.33609,12.2507,18.0694,5.94787,17.3615,13.9041,12.1959
269,49735969,4437664,COC1=CC=C(C=C1)OCC(=O)NNC(=S)NC(=O)C2=CC=C(C=C2)[N+](=O)[O-],Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",-13.3991,-11.1977,-10.7455,-8.9186,-12.6501,-7.70827,-10.5719,-7.27895,-2.64317,-7.25154,"0,0,0,0,0,0,0,0,0,0",-17.5645,-11.9056,-11.0926,-8.4162,-16.8519,-14.171,-10.2888,-9.48494,-2.83042,1.74141,"0,0,0,0,0,0,0,0,0,0",-15.1347,-7.93663,-7.98231,-5.03185,-11.0926,-6.77655,-10.4212,-8.54408,-4.73041,-1.90783
270,49642690,5719375,CC[N+]1=C(N(C2=C1C=C(C=C2)C3=NC4=CC=CC=C4S3)C5=CC=CC=C5)/C=C/N(C)C6=CC=CC=C6.[I-],Active,56,,,=,9.832,0.75,0.898,"0,0,0,0,0,0,0,0,0,0",69.3142,46.8569,39.2981,24.3814,10.2913,-1.22731,11.8808,3.60943,-4.04989,-1.44654,"0,0,0,0,0,0,0,0,0,0",69.8668,43.1894,34.5481,20.997,8.8892,17.4757,3.98851,10.2959,-6.49338,1.1431,"0,0,0,0,0,0,0,0,0,0",67.5604,44.2353,37.325,26.0073,20.7687,6.1808,3.63227,-2.79389,2.50872,-5.1643
271,49645200,3178801,CC(C)CC(C(=O)NC(C)(C)C)N(CC1=CC=CC=C1Cl)C(=O)C2=C(C(=NS2)C(=O)N)N,Active,51,,,=,14.469,0.832,1.606,"0,0,0,0,0,0,0,0,0,0",59.6544,37.6173,12.8125,-4.3833,0.983248,5.40893,10.0767,14.0365,-0.898468,2.64574,"0,0,0,0,0,0,0,0,0,0",64.4501,40.0106,14.4795,12.4151,5.82456,7.27238,4.1301,3.19837,-1.83476,2.55896,"0,0,0,0,0,0,0,0,0,0",61.3854,36.2335,11.9401,1.70488,3.80582,7.06686,6.20364,3.22578,8.68824,-0.51025
272,49679907,3889937,CCOC(=O)C1=C(SC2=C1CCCC2)NC(=O)C(C3=CC=CC=C3)NCCN(C)C,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",51.4059,34.402,19.7273,9.31395,9.04448,7.72911,7.79305,13.6163,5.48658,7.33176,"0,0,0,0,0,0,0,0,0,0",49.0538,30.4422,15.562,15.6031,16.6444,14.0365,11.5154,18.1197,14.8038,10.4969,"0,0,0,0,0,0,0,0,0,0",47.9896,33.1871,16.3065,15.868,12.4197,12.6207,8.98054,16.8774,15.0961,9.96707
273,49731173,24792813,CC1=C(C(=CC=C1)C)NC(=O)CN2C3=CC=CC=C3C(=O)N(C2=O)CCCC(=O)NC4CCN(CC4)CC5=CC=CC=C5,Active,55,,,=,6.416,0.577,1.426,"0,0,0,0,0,0,0,0,0,0",76.4894,67.1904,46.7976,21.5223,4.8837,2.98828,-4.47464,-12.2755,-7.92293,-3.20494,"0,0,0,0,0,0,0,0,0,0",75.2654,63.6782,47.405,23.8242,1.88757,-7.50274,-9.78181,-12.0655,-11.5311,-5.42464,"0,0,0,0,0,0,0,0,0,0",73.6714,65.3452,48.3961,28.0991,0.837095,-11.8736,-10.6405,-12.8054,-14.2395,-10.3025
274,51086241,24891992,CCC1=CC2=C(C=C1)N=C(S2)N(CCCN(C)C)C(=O)C3=CC=C(C=C3)C(=O)C4=CC=CC=C4.Cl,Active,52,,,=,13.241,0.641,1.53,"0,0,0,0,0,0,0,0,0,0",67.1174,37.8959,22.9655,10.1954,-2.86239,-2.3874,-7.55298,-3.82609,-2.61119,0.512819,"0,0,0,0,0,0,0,0,0,0",68.1267,36.8592,20.2617,6.70604,-6.11429,1.41257,-10.0147,-3.8672,-3.59773,4.6051,"0,0,0,0,0,0,0,0,0,0",61.7554,36.3065,23.5182,10.0219,-1.44197,-4.20974,-3.47441,-3.29629,-5.23281,-0.519385
