PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,AC50_Qualifier,AC50_uM,pAC50_M,ACTIVITY_OUTCOME_TEST1,ACTIVITY_SCORE_TEST1,ASSAYDATA_COMMENT_TEST1,AC50_Qualifier_TEST1,AC50_uM_TEST1,pAC50_M_TEST1,Hill_Slope_TEST1,S0_(%)_TEST1,Sinf_(%)_TEST1,Num_Points_TEST1,Max_Activity_(%)_TEST1,Max_Activity_Conc_uM_TEST1,Max_Concentration_uM_TEST1,Activity_at_2.35uM_(%)_TEST1,Activity_at_4.6uM_(%)_TEST1,Activity_at_6uM_(%)_TEST1,Activity_at_9uM_(%)_TEST1,Activity_at_12uM_(%)_TEST1,Activity_at_18uM_(%)_TEST1,Activity_at_19.5uM_(%)_TEST1,Activity_at_23.5uM_(%)_TEST1,ACTIVITY_OUTCOME_TEST2,ACTIVITY_SCORE_TEST2,ASSAYDATA_COMMENT_TEST2,AC50_Qualifier_TEST2,AC50_uM_TEST2,pAC50_M_TEST2,Hill_Slope_TEST2,S0_(%)_TEST2,Sinf_(%)_TEST2,Num_Points_TEST2,Max_Activity_(%)_TEST2,Max_Activity_Conc_uM_TEST2,Max_Concentration_uM_TEST2,Activity_at_2.35uM_(%)_TEST2,Activity_at_4.6uM_(%)_TEST2,Activity_at_6uM_(%)_TEST2,Activity_at_9uM_(%)_TEST2,Activity_at_12uM_(%)_TEST2,Activity_at_18uM_(%)_TEST2,Activity_at_19.5uM_(%)_TEST2,Activity_at_23.5uM_(%)_TEST2,ACTIVITY_OUTCOME_TEST3,ACTIVITY_SCORE_TEST3,ASSAYDATA_COMMENT_TEST3,AC50_Qualifier_TEST3,AC50_uM_TEST3,pAC50_M_TEST3,Hill_Slope_TEST3,S0_(%)_TEST3,Sinf_(%)_TEST3,Num_Points_TEST3,Max_Activity_(%)_TEST3,Max_Activity_Conc_uM_TEST3,Max_Concentration_uM_TEST3,Activity_at_0.15uM_(%)_TEST3,Activity_at_0.285uM_(%)_TEST3,Activity_at_0.3uM_(%)_TEST3,Activity_at_0.6uM_(%)_TEST3,Activity_at_1.2uM_(%)_TEST3,Activity_at_2.35uM_(%)_TEST3,Activity_at_4.6uM_(%)_TEST3,Activity_at_9uM_(%)_TEST3,Activity_at_18uM_(%)_TEST3,Activity_at_19.5uM_(%)_TEST3,ACTIVITY_OUTCOME_TEST4,ACTIVITY_SCORE_TEST4,ASSAYDATA_COMMENT_TEST4,AC50_Qualifier_TEST4,AC50_uM_TEST4,pAC50_M_TEST4,Hill_Slope_TEST4,S0_(%)_TEST4,Sinf_(%)_TEST4,Num_Points_TEST4,Max_Activity_(%)_TEST4,Max_Activity_Conc_uM_TEST4,Max_Concentration_uM_TEST4,Activity_at_0.15uM_(%)_TEST4,Activity_at_0.285uM_(%)_TEST4,Activity_at_0.3uM_(%)_TEST4,Activity_at_0.6uM_(%)_TEST4,Activity_at_1.2uM_(%)_TEST4,Activity_at_2.35uM_(%)_TEST4,Activity_at_4.6uM_(%)_TEST4,Activity_at_9uM_(%)_TEST4,Activity_at_18uM_(%)_TEST4,Activity_at_19.5uM_(%)_TEST4,ACTIVITY_OUTCOME_TEST5,ACTIVITY_SCORE_TEST5,ASSAYDATA_COMMENT_TEST5,AC50_Qualifier_TEST5,AC50_uM_TEST5,pAC50_M_TEST5,Hill_Slope_TEST5,S0_(%)_TEST5,Sinf_(%)_TEST5,Num_Points_TEST5,Max_Activity_(%)_TEST5,Max_Activity_Conc_uM_TEST5,Max_Concentration_uM_TEST5,Activity_at_0.15uM_(%)_TEST5,Activity_at_0.285uM_(%)_TEST5,Activity_at_0.3uM_(%)_TEST5,Activity_at_0.6uM_(%)_TEST5,Activity_at_1.2uM_(%)_TEST5,Activity_at_2.35uM_(%)_TEST5,Activity_at_4.6uM_(%)_TEST5,Activity_at_9uM_(%)_TEST5,Activity_at_18uM_(%)_TEST5,Activity_at_19.5uM_(%)_TEST5,ACTIVITY_OUTCOME_TEST6,ACTIVITY_SCORE_TEST6,ASSAYDATA_COMMENT_TEST6,AC50_Qualifier_TEST6,AC50_uM_TEST6,pAC50_M_TEST6,Hill_Slope_TEST6,S0_(%)_TEST6,Sinf_(%)_TEST6,Num_Points_TEST6,Max_Activity_(%)_TEST6,Max_Activity_Conc_uM_TEST6,Max_Concentration_uM_TEST6,Activity_at_0.15uM_(%)_TEST6,Activity_at_0.285uM_(%)_TEST6,Activity_at_0.3uM_(%)_TEST6,Activity_at_0.6uM_(%)_TEST6,Activity_at_1.2uM_(%)_TEST6,Activity_at_2.35uM_(%)_TEST6,Activity_at_4.6uM_(%)_TEST6,Activity_at_9uM_(%)_TEST6,Activity_at_18uM_(%)_TEST6,Activity_at_19.5uM_(%)_TEST6
470,26665244,330267,CCN(CC)CC1=CC2=C(C=C1OC)C3=CN=C4C=C(C=CC4=C3N2)Cl,Active,55,,,=,3.1,5.509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,55,,=,3.1,5.509,1.2,-2.752,-100,8,-92.643,18,18,-3.755,,-7.625,-18.2,-24.361,-41.815,-60.834,-82.389,-92.643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,24810591,16193160,CCN1CCN(CC1)C2=NC3=C(C=C(C=C3)NC(=S)NCC4=CC=CS4)C(=C2)C,Inconclusive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-7.90316,-7.90316,8,-17.895,18,18,-5.455,-1.405,,-0.524,-4.26,-7.617,-9.664,-16.404,-17.895,,2,68,,<,0.15,6.824,0,-72.1293,-72.1293,8,-94.02,9,18,-59.167,-81.21,,-48.593,-43.577,-92.646,-64.999,-94.02,-92.822,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-10.0824,-10.0824,8,-19.911,18,18,-9.937,-10.265,,-3.659,-11.829,-3.041,-11.516,-10.502,-19.911,
472,24810555,16193138,CCN1CCN(CC1)C2=NC3=C(C=C(C=C3)NC(=S)N4CCCCC4)C(=C2)C,Active,49,,,=,14.08,4.851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,49,,=,12.97,4.887,0.801,6.015,-100,8,-54.472,18,18,3.875,1.844,,-5.66,-4.028,-18.596,-24.491,-38.972,-54.472,,2,46,,=,22.82,4.642,0.8,-10,-100,8,-52.278,18,18,-11.05,-18.553,,-16.798,-14.318,-34.247,-32.164,-30.561,-52.278,,2,50,,=,10.82,4.966,0.834,4.52,-100,8,-58.612,18,18,1.89,-1.607,,-6.058,-1.041,-26.717,-27.203,-43.779,-58.612,,2,50,,=,9.7,5.013,0.8,5.254,-100,8,-62.199,18,18,3.957,-4.459,,-7.536,-1.396,-28.032,-34.016,-40.495,-62.199,
473,24810457,16193107,CCCN(CCC)CCCNC(=S)NC1=CC2=C(C=C1)N=C(C=C2C)N3CCN(CC3)CC,Active,53,,,=,5.26,5.279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,52,,=,6.47,5.189,0.985,1.829,-100,8,-72.088,18,18,-6.796,0.843,,-2.501,-14.203,-26.196,-45.1,-54.486,-72.088,,2,53,,=,5.07,5.295,1.081,-3.732,-100,8,-81.147,18,18,-8.029,-4.161,,-13.857,-19.678,-35.713,-46.58,-66.808,-81.147,,2,54,,=,4.24,5.373,1.2,2.997,-100,8,-85.362,18,18,5.708,-1.827,,-12.565,-15.136,-25.02,-54.781,-69.525,-85.362,,,,,,,,,,,,,,,,,,,,,,,,
474,49643582,844901,C1COCCN1CCC(=O)NC2=CC=C(C=C2)N,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-5.65269,-5.65269,8,-14.947,18,18,-13.834,2.453,,-8.356,5.634,-5.211,0.805,-11.765,-14.947,,1,0,,>,36,4.444,0.8,-5.086,-100,8,-32.239,18,18,0.312,1.357,,-11.187,-19.013,-18.021,-15.392,-15.369,-32.239,,1,0,,,,,,-4.97531,-4.97531,8,-17.24,18,18,4.597,-1.424,,-5.756,-7.825,2.774,-4.777,-10.152,-17.24,,,,,,,,,,,,,,,,,,,,,,,,
475,24810132,5174302,CCN1CCN(CC1)C2=NC3=C(C=C(C=C3)NC(=S)N4CCOCC4)C(=C2)C,Active,47,,,=,21.95,4.659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,48,,=,17.12,4.766,0.8,1.772,-100,8,-49.934,18,18,0.769,0.586,,-4.663,-11.561,-21.173,-25.418,-32.486,-49.934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,46,,=,26.77,4.572,0.8,-1.73,-100,8,-38.281,18,18,5.672,-3.427,,-13.596,-3.236,-27.581,-23.086,-29.813,-38.281,
476,51086014,18580648,CN(C)CCN(C1=NC2=C(C=CC(=C2S1)Cl)OC)C(=O)C3=CC4=C(C=C3)OCCO4.Cl,Active,51,,,=,9.01,5.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,48,,=,15.98,4.796,1.2,5.013,-100,8,-55.388,18,18,5.531,-0.469,,0.02,2.846,0.381,-12.757,-28.154,-55.388,,2,52,,=,6.12,5.213,1.2,12.035,-100,8,-87.788,18,18,5.923,9.152,,4.023,3.62,-10.425,-27.813,-60.563,-87.788,,2,52,,=,5.73,5.242,1.2,4.718,-100,8,-83.867,18,18,-2.509,2.646,,2.382,-6.39,-19.876,-39.252,-63.672,-83.867,,2,51,,=,8.2,5.086,1.2,-0.727,-100,8,-78.686,18,18,2.174,-7.405,,-4.698,-8.675,-18.063,-34.35,-47.64,-78.686,
477,49829041,5578971,CC1=CC=C(C=C1)C2=C3C(=CC(=N2)C(=O)NCCCN4CCOCC4)C5=CC=CC=C5N3,Inconclusive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,13.2479,13.2479,8,33.557,18,18,5.576,12.991,,7.032,11.916,10.105,1.044,23.763,33.557,,2,57,,=,2.01,5.697,1.2,-4.564,-98.941,8,-91.141,9,18,-9.532,-10.916,,-24.317,-36.427,-53.384,-75.139,-91.141,-88.381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,26663453,4396771,CN(C)CCCNC1=NC(=C(C(=N1)NC2=CC=CC=C2OC)[N+](=O)[O-])N,Active,53,,,=,5.59,5.253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,51,,=,7.31,5.136,1.2,5.007,-100,8,-75.248,18,18,3.265,,1.982,2.391,-4.535,-17.892,-33.676,-51.858,-75.248,,2,56,,=,2.52,5.599,1.2,5.983,-100,8,-99.428,18,18,-0.278,,0.708,-8.287,-26.115,-39.057,-64.627,-88.282,-99.428,,,,,,,,,,,,,,,,,,,,,,,,,2,52,,=,6.94,5.159,0.945,-1.513,-100,8,-69.289,18,18,-2.528,,-13.58,-4.79,-17.005,-22.453,-49.58,-55.418,-69.289,
479,24832619,16196359,C1COCCN1CCCNC(=O)/C=C/C2=CN(N=C2C3=CC4=C(C=C3)OCCO4)C5=CC=CC=C5.Cl,Active,48,,,=,16.06,4.794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,47,,=,20.31,4.692,0.958,11.585,-100,8,-40.135,18,18,13.508,3.523,,10.326,7.638,-4.636,-7.1,-25.792,-40.135,,2,48,,=,15.12,4.820,1.2,-0.641,-100,8,-60.191,18,18,-3.135,2.633,,-3.407,-6.62,-12.261,-17.926,-30.334,-60.191,,2,49,,=,12.75,4.894,1.2,3.488,-100,8,-60.779,18,18,0.815,1.746,,3.916,-3.837,-7.231,-17.861,-37.466,-60.779,,,,,,,,,,,,,,,,,,,,,,,,
480,87349076,3799440,CCN(CC)CCOC1=CC2=C(C=C1)C3=C(C2=NNC(=O)C4=CC=CC=N4)C=C(C=C3)OCCN(CC)CC,Active,68,,,<,0.15,6.824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,68,,<,0.15,6.824,1.2,0,-101.085,8,-104.239,2.35,18,-73.096,-90.359,,-94.738,-100.489,-104.239,-101.637,-95.648,-98.427,,2,68,,<,0.15,6.824,0,-102.755,-102.755,8,-109.993,18,18,-90.232,-103.675,,-97.779,-102.581,-106.268,-106.567,-104.944,-109.993,,2,68,,<,0.15,6.824,1.2,0,-104.988,8,-108.855,1.2,18,-83.913,-100.11,,-100.7,-108.855,-102.517,-101.337,-104.844,-102.907,,2,68,,<,0.15,6.824,1.2,0,-114.248,8,-114.127,1.2,18,-73.082,-93.852,,-112.407,-114.127,-109.763,-111.856,-111.623,-111.193,
481,24810455,16193105,CCN1CCN(CC1)C2=NC3=C(C=C(C=C3)NC(=S)N4CC(CC(C4)C)C)C(=C2)C,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-14.619,-14.619,8,-27.238,18,18,-15.686,-12.373,,-7.758,-9.348,-10.843,-14.718,-18.988,-27.238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-18.7346,-18.7346,8,-32.057,0.285,18,-20.405,-32.057,,-8.176,-8.736,-15.157,-16.699,-17.103,-31.544,
482,24810576,3473207,CCN1CCN(CC1)C2=NC3=C(C=C(C=C3)NC(=O)C4=CC=CS4)C(=C2)C,Inconclusive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,47,,=,18.55,4.732,1.031,5.485,-100,8,-45.215,18,18,5.058,2.907,,0.856,2.09,-4.262,-15.488,-30.332,-45.215,,3,0,,,,,,,,8,-92.858,18,18,-57.46,-45.693,,-43.438,-50.201,-59.123,-65.568,-76.453,-92.858,,,,,,,,,,,,,,,,,,,,,,,,,2,49,,=,12.91,4.889,1.2,3.319,-100,8,-57.17,18,18,-3.177,7.879,,-3.098,-2.341,-1.617,-18.495,-42.258,-57.17,
483,51089310,24892401,CCN(CC)CCN(C1=NC2=C(C=CC=C2S1)OC)C(=O)C3=CC=C(C=C3)C(=O)C4=CC=CC=C4.Cl,Active,48,,,=,17.15,4.766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,47,,=,19.82,4.703,0.8,15.292,-100,8,-34.578,18,18,8.17,9.226,,16.489,8.606,-4.892,-16.448,-29.114,-34.578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,48,,=,14.47,4.840,1.2,6.427,-100,8,-64.358,18,18,3.979,5.837,,10.212,-8.916,-1.277,-12,-22.193,-64.358,
484,49646803,879195,CN1CCN(CC1)C2=NC(=NC3=CC=CC=C32)C4=CC=CC=C4O,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,1.83795,1.83795,8,8.575,0.15,18,8.575,,3.558,4.892,1.03,-1.574,4.835,0.281,-6.893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,36,4.444,0.8,3.291,-100,8,-18.664,18,18,11.496,,9.098,0.862,-13.477,-8.604,-9.326,-12.976,-18.664,
485,99355653,234847,COC1=C(C=C(C=C1)CC2=NCCC3=CC(=C(C=C32)OC)OC)OC.C(=O)(C(=O)O)O,Active,48,,,=,15.22,4.818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,48,,=,15.22,4.818,1.109,5.857,-100,8,-53.63,18,18,5.554,4.437,,4.566,-1.465,-6.737,-17.69,-28.886,-53.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486,17416077,2892066,CC1=CC(=CC(=C1)OCC(CN2CCC(CC2)CN3C(=O)C4=CC=CC5=C4C(=CC=C5)C3=O)O)C.Cl,Inconclusive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,36,4.444,1.2,2.418,-100,8,-24.27,18,18,2.246,1.224,,2.725,-0.72,0.84,-2.528,-13.367,-24.27,,2,57,,=,2.2,5.658,1.2,2.25,-100,8,-100.504,18,18,-12.047,-10.123,,-5.474,-4.002,-61.707,-79.883,-95.712,-100.504,,2,56,,=,2.31,5.636,1.2,10.847,-100,8,-101.705,18,18,-6.951,4.823,,-3.19,3.384,-50.277,-76.784,-96.674,-101.705,,,,,,,,,,,,,,,,,,,,,,,,
487,22414649,15945802,CN1CCN(CC1)CCCC(=O)C2=CC=C(C=C2)C3CCCC3.O.Cl,Active,47,,,=,19.7,4.705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,47,,=,22.23,4.653,1.2,-0.03,-100,8,-51.716,18,18,-5.197,-3.317,,-1.081,-0.181,-2.731,-15.707,-13.911,-51.716,,2,47,,=,19.24,4.716,1.158,-9.371,-100,7,-53.017,18,18,-2.049,-18.354,,-10.529,,-17.578,-22.131,-36.512,-53.017,,2,48,,=,17.64,4.754,1.2,5.657,-100,8,-49.558,18,18,5.983,-2.684,,7.966,3.897,-3.497,-8.264,-27.272,-49.558,,,,,,,,,,,,,,,,,,,,,,,,
488,49731296,20889538,CCN1CCN(CC1)C(=O)C2CCN(CC2)C3=NN=C(S3)N4C(=CC=C4C)C,Inconclusive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,36,4.444,1.028,10.859,-100,8,-16.669,18,18,9.537,10.383,,11.677,0.413,13.578,6.077,-14.309,-16.669,,1,0,,>,36,4.444,0.872,2.644,-100,8,-16.677,18,18,-3.344,3.24,,6.352,2.969,-4.336,-4.416,-10.244,-16.677,,1,0,,>,36,4.444,1.2,0.292,-100,7,-19.195,18,18,4.641,-6.895,,-1.865,,5.928,-8.826,-6.185,-19.195,,2,45,,=,28.83,4.540,1.2,5.95,-100,8,-33.597,18,18,3.975,1.56,,7.74,3.083,1.289,2.284,-16.656,-33.597,
489,49669322,6621843,CCCNC1=NC2=CC=CC=C2N3C1=NN=C3C,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,2.2515,2.2515,8,-11.448,0.15,18,-11.448,3.703,,1.262,-3.416,9.836,2.689,10.081,5.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,99361048,328772,COC1=CC2=C3C(=C1)C=CC=C3C(=O)N(C2=O)CCN4CCCC4,Active,52,,,=,5.72,5.242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,52,,=,6.07,5.217,1.2,10.523,-100,8,-78.119,18,18,5.157,9.669,,1.039,3.978,-15.38,-33.234,-62.2,-78.119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,53,,=,5.38,5.269,1.2,17.064,-100,8,-80.199,18,18,17.522,10.896,,10.444,-2.45,-10.784,-32.468,-63.03,-80.199,
491,85148713,442333,CN1CCC2=CC(=C(C3=C2[C@@H]1CC4=CC=C(C=C4)OC5=C(C=CC(=C5)C[C@@H]6C7=CC(=C(C=C7CCN6C)OC)O3)O)OC)OC,Active,50,,,=,9.29,5.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50,,=,9.29,5.032,0.8,9.083,-100,8,-56.215,18,18,9.573,-6.796,,3.451,-7.064,-20.802,-33.269,-45.046,-56.215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,24779553,16187088,C1CN(CCN1CCO)CC(COC2=CC=C(C=C2)C34CC5CC(C3)CC(C5)C4)O.Cl,Active,48,,,=,16.04,4.795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,47,,=,21.6,4.666,1.2,-6.344,-100,8,-47.405,18,18,-7.017,-12.943,,-6.177,-14.097,-2.335,-10.63,-38.079,-47.405,,2,49,,=,11.82,4.927,1.2,6.002,-100,8,-65.169,18,18,2.013,-1.442,,5.391,1.132,-1.806,-7.007,-45.609,-65.169,,2,48,,=,14.69,4.833,1.2,1.704,-100,8,-56.937,18,18,-3.698,-1.051,,-4.129,-0.132,-0.045,-9.937,-41.888,-56.937,,,,,,,,,,,,,,,,,,,,,,,,
493,22412715,15945632,CC1=CC=C(C=C1)S(=O)(=O)[O-].CC(C)(C)C1=CC=C(C=C1)OCC2=CC=CC=[N+]2C,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,8.47351,8.47351,8,11.652,0.6,18,9.929,5.565,,11.652,7.495,6.509,10.866,6.852,8.919,,1,0,,,,,,-4.98959,-4.98959,7,-11.135,9,18,-9.208,,,-5.287,1.72,-4.001,-7.299,-11.135,0.282,,1,0,,,,,,8.02867,8.02867,8,17.05,0.15,18,17.05,4.924,,9.348,7.727,11.189,5.558,6.858,1.576,,,,,,,,,,,,,,,,,,,,,,,,
494,103074602,49789937,CC(=O)NC1=CC(=CN2C1=NC=C2C3=CC=CC=C3)C4=CC(=CC=C4)C(=O)NCCN(C)C,Active,54,,,=,4.01,5.397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,52,,=,6.59,5.181,0.97,6.248,-100,8,-73.186,18,18,5.106,,2.33,-6.22,-12.004,-21.429,-37.113,-52.98,-73.186,,2,60,,=,0.895,6.048,0.8,0,-100,8,-93.097,18,18,-30.948,,-36.301,-54.278,-40.629,-57.391,-75.022,-78.343,-93.097,,,,,,,,,,,,,,,,,,,,,,,,,2,53,,=,4.55,5.342,0.8,17.251,-100,8,-73.462,18,18,15.126,,5.278,-5.583,-20.988,-26.055,-32.94,-57.01,-73.462,
495,51087849,12627145,C1=CC=C(C=C1)C2=CC(=[N+](C(=C2)C3=CC=CC=C3)C4=CC=C(C=C4)O)C5=CC=CC=C5.[O-]Cl(=O)(=O)=O,Active,50,,,=,9.88,5.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,49,,=,12.66,4.898,1.2,3.23,-100,8,-63.496,18,18,3.363,-1.359,,-0.31,0.925,-8.771,-17.019,-36.318,-63.496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,51,,=,7.11,5.148,1.124,10.728,-100,8,-70.234,18,18,4.923,7.489,,13.834,-7.891,-13.151,-32.049,-52.18,-70.234,
496,24796665,2131970,CC1=CC=C(C=C1)C(=O)N/C(=C/C2=CC=C(O2)C3=CC(=CC=C3)[N+](=O)[O-])/C(=O)NCCCN(C)C,Inconclusive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,36,4.444,0.869,9.668,-100,7,-25.242,18,18,,9.091,,3.747,5.358,0.957,0.457,-21.558,-25.242,,2,54,,=,3.66,5.437,0.8,-10,-100,8,-84.613,18,18,-25.397,-27.931,,-31.423,-40.169,-45.065,-56.136,-61.44,-84.613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,51087850,5165433,C1=CC=C(C=C1)C2=CC(=[N+](C(=C2)C3=CC=CC=C3)C4=CC=C(C=C4)C(=O)[O-])C5=CC=CC=C5,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-7.30744,-7.30744,8,-26.107,18,18,-5.33,-9.208,,5.937,-12.296,0.814,-3.512,-8.757,-26.107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,36,4.444,1.2,-8.388,-100,8,-38.018,18,18,-7.959,-7.297,,-7.88,-9.924,-16.963,-16.164,-16.202,-38.017,
498,24781952,16187685,CN(C)CCNC1=CC(=NC2=CC=CC=C21)C3=CC=NC=C3.Br,Active,54,,,=,4.09,5.389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,53,,=,5.19,5.285,1.2,8.972,-100,8,-81.165,18,18,7.64,5.532,,3.261,-10.447,-18.988,-39.98,-64.753,-81.165,,2,54,,=,4.11,5.386,1.102,-10,-100,8,-88.621,18,18,-15.063,-23.745,,-16.065,-30.199,-38.005,-59.753,-71.567,-88.621,,2,55,,=,3.35,5.475,1.2,-5.577,-100,8,-99.027,18,18,-10.443,-9.556,,-12.962,-23.644,-48.171,-59.511,-72.854,-99.027,,2,54,,=,3.69,5.433,1.17,11.296,-100,8,-82.372,18,18,11.83,1.463,,-1.276,-8.429,-31.24,-51.922,-72.641,-82.372,
499,93576767,16211806,CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.O.[Br-],Active,52,,,=,5.71,5.244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,53,,=,4.53,5.344,0.817,19.835,-100,8,-73.845,18,18,15.533,6.276,,0.708,-13.244,-23.614,-37.873,-55.069,-73.845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,52,,=,6.88,5.162,1.005,8.082,-100,8,-62.208,18,18,4.363,0.817,,0.259,-4.624,-9.218,-46.985,-57.223,-62.208,
500,24801420,135455077,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)C2=NN3C4=CC=CC=C4[N+](=C3SC2)C.[Br-],Active,49,,,=,13.43,4.872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,46,,=,22.61,4.646,0.8,3.018,-100,7,-39.323,18,18,10.324,-4.239,,-5.123,,-13.465,-21.023,-33.704,-39.323,,2,50,,=,9.61,5.017,1.2,-3.736,-100,8,-76.549,18,18,-2.739,-9.867,,-11.778,-7.079,-17.086,-18.388,-55.639,-76.549,,2,51,,=,8.32,5.080,1.2,15,-100,8,-69.181,18,18,18.654,8.328,,11.192,7.43,-5.852,-18.771,-47.343,-69.181,,2,49,,=,13.16,4.881,1.011,1.431,-100,8,-58.336,18,18,3.041,-7.206,,2.118,-6.759,-14.451,-26.746,-36.895,-58.336,
501,46501330,23641157,C1CN([C@@H](CN1)CC2=CC=CC3=CC=CC=C32)CCC4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,3.51138,3.51138,8,12.351,2.35,18,3.623,4.935,,6.734,0.487,12.351,-3.962,-2.314,6.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,4.7366,4.7366,8,13.968,2.35,18,7.044,7.281,,8.226,1.147,13.968,10.97,-7.527,-3.217,
