PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC50_Qualifier,IC50,Std.Err(IC50),nH,Excluded_Points_first_point,% Activity at 80 uM_first_point,% Activity at 40 uM_first_point,% Activity at 20 uM_first_point,% Activity at 10 uM_first_point,% Activity at 5 uM_first_point,% Activity at 2.5 uM_first_point,% Activity at 1.25 uM_first_point,% Activity at 0.625 uM_first_point,% Activity at 0.3125 uM_first_point,% Activity at 0.15625 uM_first_point,Excluded_Points_second_point,% Activity at 80 uM_second_point,% Activity at 40 uM_second_point,% Activity at 20 uM_second_point,% Activity at 10 uM_second_point,% Activity at 5 uM_second_point,% Activity at 2.5 uM_second_point,% Activity at 1.25 uM_second_point,% Activity at 0.625 uM_second_point,% Activity at 0.3125 uM_second_point,% Activity at 0.15625 uM_second_point
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,"This qualifier is to be used with the next TID, IC50. If the qualifier is =, the IC50 result equals the value in that column. If the qualifier is >, the IC50 result is greater than that value. If the qualifier is <, the IC50 result is smaller than that value",IC50 value determined using a sigmoidal dose response equation,Standard Error of the IC50 value,Hill coefficient determined using sigmoidal dose response equation,Flags to indicate which of the first dose-response points were excluded from analysis. (1) means the titration point was excluded and (0) means the point was not excluded.,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,Flags to indicate which of the second dose-response points were excluded from analysis. (1) means the titration point was excluded and (0) means the point was not excluded.,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration
RESULT_UNIT,,,,,,,,NONE,MICROMOLAR,MICROMOLAR,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
467,17504007,135477972,CC1=C(C=C(C=C1)N2C(=O)C(=C(N2)C)/C=N/NC3=C(C=C(C=C3)[N+](=O)[O-])[N+](=O)[O-])C,Inactive,41,,,=,32.9,8.66,0.626,"0,0,0,0,0,0,0,0,0,0",64.6046,47.6978,20.8653,45.7672,29.1145,1.62717,19.5699,-5.18423,1.02782,13.8899,"0,0,0,0,0,0,0,0,0,0",66.8555,59.0779,31.1161,49.7864,26.4882,29.0904,3.99749,9.10831,2.62938,-11.3341
468,22416545,807827,C1=CC(=CC(=C1)[N+](=O)[O-])/C=C/C(=O)NCCC2=CC=C(C=C2)F,Active,55,,,=,11.8,0.929,0.957,"0,0,0,0,0,0,0,0,0,0",75.4324,74.0267,68.0409,52.656,29.5971,20.0877,4.76102,2.17346,-4.86112,-0.629445,"0,0,0,0,0,0,0,0,0,0",79.2033,73.2334,64.3322,51.0826,33.0967,15.3272,9.88573,-1.57674,-1.58253,-1.54332
469,22415608,675719,C1CCC(=CC1)CCNC(=O)COC2=CC=C(C=C2)[N+](=O)[O-],Active,56,,,=,10.1,0.543,1.095,"0,0,0,0,0,0,0,0,0,0",87.7506,79.7024,68.8407,50.8015,32.4271,19.5287,5.49026,3.36858,-5.35577,-5.45497,"0,0,0,0,0,0,0,0,0,0",86.246,80.8351,68.5087,50.9654,34.9678,19.73,8.25119,1.14261,-5.73274,-4.33787
470,24811777,9612272,C/C(=N\NC1=NC(=NC(=N1)N2CCOCC2)N3CCOCC3)/C4=CC=C(C=C4)[N+](=O)[O-],Active,54,,,=,17.9,2.83,0.841,"0,0,0,0,0,0,0,0,0,0",64.1453,60.7356,61.5001,45.9511,33.3275,3.69638,4.27698,1.23065,-5.21255,-10.2699,"0,0,0,0,0,0,0,0,0,0",65.5238,62.4899,59.5849,51.5874,31.4956,10.161,-0.634738,-1.7834,-4.33481,-6.21415
471,24823192,16195423,CN(CCO)C1=C(C2=NON=C2C(=C1)NCCCN3CCC(CC3)CC4=CC=CC=C4)[N+](=O)[O-],Active,54,,,=,6.52,0.72,0.704,"0,0,0,0,0,0,0,0,0,0",73.1103,76.056,71.8334,59.3843,47.9087,32.5764,30.2419,22.1607,4.06561,16.2358,"0,0,0,0,0,0,0,0,0,0",90.7294,76.4063,71.9542,61.1153,42.9639,29.2701,14.1917,22.7462,5.03328,-1.73869
472,24830381,2431695,CC1=CC(=C(C=C1NCC(=O)N2CCN(CC2)C3=CC=CC=C3)[N+](=O)[O-])C,Active,54,,,=,6.55,0.55,0.679,"0,0,0,0,0,0,0,0,0,0",80.4603,78.2946,70.8659,54.3828,40.4577,40.5771,27.2444,11.3668,9.19552,1.27504,"0,0,0,0,0,0,0,0,0,0",81.1532,80.5292,69.1537,57.3672,38.622,44.9718,23.8025,20.466,7.43037,6.80884
473,24839308,2564138,CCN(CC(=O)NCC1=CC=CS1)S(=O)(=O)C2=CC=C(C=C2)[N+](=O)[O-],Active,54,,,=,17.7,1.51,0.844,"0,0,0,0,0,0,0,0,0,0",69.5004,70.8459,57.1277,38.8888,26.7005,11.8568,10.8228,-0.209158,3.97516,0.260528,"0,0,0,0,0,0,0,0,0,0",66.1349,71.0533,55.9051,43.2409,22.3404,17.1122,5.20706,5.39796,-5.10904,1.88204
474,24794220,2979212,CC(=O)N1CCN(CC1)C2=CC=CC=C2NC(=O)C3=CC=C(O3)C4=CC(=CC=C4)[N+](=O)[O-],Active,48,,,=,12.1,3.23,0.385,"0,0,0,0,0,0,0,0,0,0",56.9722,51.929,47.3341,65.0948,53.0452,42.2011,35.704,12.74,23.4774,8.8877,"0,0,0,0,0,0,0,0,0,0",57.6948,63.4406,54.161,54.951,49.9232,41.411,28.4204,20.9905,8.86987,2.43016
475,24790792,1247275,C1CCC(CC1)N2CCN(CC2)C(=O)C3=CC4=C(C=CC(=C4)[N+](=O)[O-])OC3=O,Active,54,,,=,9.68,1.66,0.739,"0,0,0,0,0,0,0,0,0,0",87.1635,74.3973,64.7502,41.9182,40.5304,11.6144,21.3667,-0.695732,17.885,-4.81141,"0,0,0,0,0,0,0,0,0,0",85.8053,81.0744,62.1486,54.0838,26.2623,35.8625,13.7388,24.2266,22.933,23.1313
476,24794340,2959311,C1CN(CCN1CCO)C2=C(C=C(C=C2)[N+](=O)[O-])C(=O)NC3=CC(=CC=C3)Cl,Active,55,,,=,2.72,0.296,0.629,"0,0,0,0,0,0,0,0,0,0",93.9075,88.6167,82.0371,69.5014,52.9408,50.3277,24.035,28.8153,29.2847,16.2814,"0,0,0,0,0,0,0,0,0,0",95.0877,87.7657,76.8808,70.7585,58.6632,40.7867,36.7235,30.8178,23.9279,23.9519
477,24786082,2191297,CCOC1=C(C=CC(=C1[N+](=O)[O-])/C=C\2/C(=O)N(C(=S)S2)CC=C)OC(=O)C,Active,59,,,=,2.87,0.192,0.887,"0,0,0,0,0,0,0,0,0,0",93.4625,93.318,86.2601,73.0884,63.3963,44.3564,31.5876,16.0908,9.76695,8.52496,"0,0,0,0,0,0,0,0,0,0",93.4511,93.5625,88.5165,77.9684,61.1375,44.4728,32.0568,16.6264,23.8946,17.1961
478,24805957,3196427,CC(=O)C1=CC=C(C=C1)N(C(C2=CC=C(C=C2)N3CCOCC3)C(=O)NC4CCCC4)C(=O)C5=CC=CO5,Active,55,,,=,12.5,1.45,0.919,"0,0,0,0,0,0,0,0,0,0",85.0087,72.6667,62.5351,39.0782,23.7662,11.8751,6.31602,-0.580231,-1.37617,-1.92632,"0,0,0,0,0,0,0,0,0,0",86.1502,78.2663,62.099,50.8383,26.1138,20.0482,26.9612,11.8571,21.0764,12.426
479,24803662,1128068,COC1=C(C=C(C=C1)[N+](=O)[O-])C(=O)NC2=CC=C(C=C2)CC3=CC=NC=C3,Active,51,,,=,11.5,1.15,0.591,"0,0,0,0,0,0,0,0,0,0",66.3406,68.8435,65.1226,43.4149,43.2014,26.4271,15.1884,7.30743,14.044,8.26147,"0,0,0,0,0,0,0,0,0,0",73.4604,69.7476,60.7372,51.9166,39.1147,25.4869,21.9226,11.3619,16.1972,12.5489
480,26663579,947436,C1=CC=C(C=C1)C2=CSC3=C2C(=O)OC(=N3)C4=CC=CC=C4F,Active,58,,,=,0.638,0.065,0.652,"0,0,0,0,0,0,0,0,0,0",82.0384,92.8454,89.6753,83.971,83.7754,72.1604,65.0845,53.3344,28.1756,28.3256,"0,0,0,0,0,0,0,0,0,0",92.4186,94.8694,88.974,85.8412,79.2725,76.2852,59.634,44.018,41.2464,31.492
481,26670700,16239210,C/C(=N\NC1=CC=C(C=C1)C(=O)O)/C2=CC3=C(C=C2)SC4=CC=CC=C4N3.OS(=O)(=O)O,Active,55,,,=,6.48,1.02,0.737,"0,0,0,0,0,0,0,0,0,0",92.5988,84.3611,67.5092,60.1209,39.4736,15.6444,28.7767,7.10014,14.3541,21.4163,"0,0,0,0,0,0,0,0,0,0",92.1318,86.2155,70.0238,52.5155,43.9138,35.0224,13.3602,35.6519,11.5599,17.318
482,26659024,9629592,C1=CC(=CC=C1C(=O)O)N/N=C/C2=CC=C(O2)C3=C(C=C(C=C3)Cl)Cl,Active,57,,,=,3.65,0.305,0.827,"0,0,0,0,0,0,0,0,0,0",88.7815,86.4485,81.6527,72.7252,52.4291,36.4431,19.5067,17.753,8.68499,4.84018,"0,0,0,0,0,0,0,0,0,0",90.8641,87.9973,83.1197,73.9095,61.7581,43.6277,25.9598,24.8489,18.7085,19.1192
483,26658886,282594,CC(=O)N(C1CCCCC1)C2=C(C(=O)C3=CC=CC=C3C2=O)Cl,Active,57,,,=,4.54,0.524,0.869,"0,0,0,0,0,0,0,0,0,0",95.7647,81.8648,72.0517,66.2634,49.7023,37.4492,17.5937,7.69643,-8.77828,-4.08056,"0,0,0,0,0,0,0,0,0,0",95.4871,83.2149,72.1187,70.3088,61.1216,43.5382,33.7322,20.3416,17.9265,0.917306
484,26725643,9631704,CC1=C2C(=CC=C1)C=C(C(=N2)Cl)/C=N/NC3=CC=C(C=C3)C(=O)O,Active,54,,,=,18.3,2.21,0.897,"0,0,0,0,0,0,0,0,0,0",81.6366,64.9605,51.1857,30.5282,20.601,1.51595,1.00757,0.101405,1.81318,13.9211,"0,0,0,0,0,0,0,0,0,0",70.2083,73.7491,57.781,43.7238,20.0557,20.063,16.8406,9.81767,12.0003,12.481
485,26732692,16746638,C[C@H](C1=CC=CC=C1)NC(=O)C2=C(N=CN2)C(=O)NC3=CC=C(C=C3)OC,Active,56,,,=,11.5,1.22,0.978,"0,0,0,0,0,0,0,0,0,0",88.9749,76.9114,65.9723,41.4916,32.0382,12.5876,15.8478,-0.356352,6.11148,-6.30958,"0,0,0,0,0,0,0,0,0,0",88.5979,80.1251,61.7638,47.4722,24.2311,23.3849,7.02997,21.5995,0.0383,20.2908
486,49646473,24747532,CCCCCCCCCCCCN1[C@H](C2=C(S1(=O)=O)C=CC(=C2)F)CC(=O)O,Active,56,,,=,2.62,0.339,0.714,"0,0,0,0,0,0,0,0,0,0",92.1891,84.5344,79.9681,69.2639,65.3152,43.895,36.497,17.3895,19.5611,-0.248981,"0,0,0,0,0,0,0,0,0,0",91.7125,89.409,86.3206,77.1826,55.2245,57.5569,26.8707,36.7501,19.2428,29.9369
487,49676101,2391082,C1CCC(C1)NC(=O)COC(=O)C2=CC(=C(C=C2)Cl)[N+](=O)[O-],Active,57,,,=,3.41,0.255,0.807,"0,0,0,0,0,0,0,0,0,0",81.7776,84.0972,83.7726,72.7435,60.3067,44.4997,26.1758,21.6878,7.85971,8.88453,"0,0,0,0,0,0,0,0,0,0",83.4675,84.516,82.0923,74.7898,58.3374,49.079,29.5909,16.3182,13.2188,3.89674
488,49665314,3089471,C1=CC(=CC=C1C(=O)NNS(=O)(=O)C2=CC=C(C=C2)[N+](=O)[O-])[N+](=O)[O-],Active,57,,,=,4.24,0.116,0.871,"0,0,0,0,0,0,0,0,0,0",90.163,85.8219,79.0155,67.1874,55.5645,38.8746,24.9757,13.422,10.0163,4.33586,"0,0,0,0,0,0,0,0,0,0",91.3135,87.0434,80.4934,70.042,52.3761,42.0456,22.6292,16.9801,8.34011,5.90307
489,49727637,24792445,CC1=CC=CC=C1N(CC(=O)NCC2=CC3=C(C=C2)OCO3)C(=O)C4CC(=O)SC4,Active,56,,,=,4.48,0.532,0.747,"0,0,0,0,0,0,0,0,0,0",91.0023,83.2188,83.8238,64.2909,52.3883,25.6506,23.694,27.7194,24.0528,-2.33437,"0,0,0,0,0,0,0,0,0,0",89.182,87.0009,73.1527,67.7448,45.7052,41.7943,31.5583,15.1049,8.44145,20.8322
490,47201610,885889,C1=CC=C(C=C1)CCCC(=O)NC2=CC(=CC=C2)[N+](=O)[O-],Active,56,,,=,3.7,0.35,0.724,"0,0,0,0,0,0,0,0,0,0",94.2831,87.0822,79.019,66.912,52.2978,41.2882,34.837,28.0864,19.4898,20.1878,"0,0,0,0,0,0,0,0,0,0",94.0128,85.8219,77.1577,66.2511,55.4958,43.3659,21.7844,9.0627,20.6562,9.3143
491,49675727,3559852,CC(C(=O)N1CCN(CC1)C2=CC=CC=C2OC)NC(=O)C3=CC(=CC=C3)[N+](=O)[O-],Active,58,,,=,1.48,0.092,0.706,"0,0,0,0,0,0,0,0,0,0",94.677,93.6616,85.7099,83.4863,65.3541,56.6977,47.7738,35.6727,26.2174,10.7964,"0,0,0,0,0,0,0,0,0,0",94.7559,90.261,89.7466,79.3951,71.1961,53.4163,48.3501,41.4196,22.0542,22.5639
492,49714316,3672920,COC1=CC2=NC3=C(C=C2C=C1)C=C(O3)C(=O)N4CCCCCC4,Active,58,,,=,3.37,0.118,0.915,"0,0,0,0,0,0,0,0,0,0",93.2466,89.8003,84.0563,72.7792,60.2302,41.9764,30.1934,13.2209,9.64655,2.43156,"0,0,0,0,0,0,0,0,0,0",92.8754,89.5461,82.1741,74.2552,58.1322,47.8311,26.3544,19.5651,8.58457,9.56864
493,49735200,20903114,COC1=CC=CC(=C1)NC(=O)CN2C(=O)CSC3=C2C=C(C=C3)S(=O)(=O)N4CCCCC4,Active,56,,,=,9.58,0.763,0.909,"0,0,0,0,0,0,0,0,0,0",88.2111,77.5217,63.844,47.5593,28.309,16.0636,18.4227,14.7064,2.94313,-6.49822,"0,0,0,0,0,0,0,0,0,0",89.981,85.0273,66.7574,51.6174,35.5018,26.8872,24.6195,8.05508,-0.854949,2.97011
494,49719441,22576111,CC1=CC(=C(C=C1)S(=O)(=O)NC2=CC=CC(=C2)C3=NN=C(C=C3)N4CCCCCC4)C,Active,56,,,=,6.9,0.774,0.818,"0,0,0,0,0,0,0,0,0,0",83.9706,76.5741,69.5114,59.0645,49.4881,28.5914,22.519,2.15134,3.15428,-9.69979,"0,0,0,0,0,0,0,0,0,0",85.4873,79.2802,67.7814,60.9993,41.9919,41.2679,15.2566,23.951,-5.16211,3.62578
495,49822270,16275976,COC1=C(C=C(C=C1)C(=O)NCCNC2=C(C=C(C=N2)C(F)(F)F)Cl)[N+](=O)[O-],Active,55,,,=,12,0.55,1.292,"0,0,0,0,0,0,0,0,0,0",92.8898,82.2854,63.8653,47.5582,24.7163,9.65368,3.91924,-0.29349,-3.89069,0.362083,"0,0,0,0,0,0,0,0,0,0",93.5364,80.557,65.8538,43.0058,24.5751,16.6673,2.14014,2.42475,-1.2303,-11.2883
496,51085260,18554343,C1CCC(CC1)NC(=O)CSC2=NC=NC3=C2N=NN3CC4=CC=CC=C4,Inactive,41,,,=,23.6,10.8,0.29,"0,1,0,0,0,0,0,0,0,0",50.3626,,45.9823,45.0462,50.5491,38.8074,37.7367,13.1909,13.6395,14.1379,"0,0,1,0,0,0,0,0,0,0",48.6553,47.5762,,53.6256,57.8663,43.112,26.5634,16.4442,23.6221,12.5497
497,49724627,2996750,CC1=CC=C(C=C1)C2=NN=C(O2)COC(=O)C3=CC(=O)NC4=CC=CC=C43,Active,56,,,=,9.54,0.957,1.001,"0,0,0,0,0,0,0,0,0,0",86.041,75.3599,69.6502,53.9792,32.6618,8.2206,18.9683,8.60005,12.7159,14.7383,"0,0,0,0,0,0,0,0,0,0",84.8005,80.5827,73.2512,61.2232,29.1928,14.2745,11.9289,11.6378,-3.09273,-3.78516
498,49827435,5337694,C1OC2=C(O1)C=C(C=C2)/C=N/NS(=O)(=O)C3=CC=C(C=C3)[N+](=O)[O-],Active,56,,,=,5.36,0.472,0.762,"0,0,0,0,0,0,0,0,0,0",90.293,82.913,77.4644,59.6297,50.2048,29.4589,24.2071,30.3246,-1.98296,10.0025,"0,0,0,0,0,0,0,0,0,0",86.2539,82.8868,71.6358,65.1799,44.6324,36.3014,24.1024,14.3671,15.0734,7.38424
499,49677956,20914043,CCC1=CC=C(C=C1)NS(=O)(=O)C2=CC3=C(C=C2C)N(C(=O)C(=O)N3C)C,Active,59,,,=,2.83,0.277,0.909,"0,0,0,0,0,0,0,0,0,0",93.0719,91.7366,82.7334,74.4531,67.5015,54.0851,23.8099,21.2634,-3.81113,17.6572,"0,0,0,0,0,0,0,0,0,0",95.0278,89.4085,84.1038,76.3383,65.0544,41.8299,39.3815,15.8521,21.4006,2.53853
500,56322476,7404291,CSC1=CC=C(C=C1)COC(=O)C2=C(C=CC(=C2)[N+](=O)[O-])N3CCOCC3,Active,58,,,=,3.26,0.318,0.917,"0,0,0,0,0,0,0,0,0,0",99.0864,91.4155,85.0159,77.6742,50.8063,54.2103,27.6717,24.6375,10.4077,20.7164,"0,0,0,0,0,0,0,0,0,0",98.1784,89.3762,87.6499,70.1035,59.5488,35.8908,34.3154,9.3581,8.93558,-1.52928
501,56316174,24979277,CC1(C(=O)NC2=CC=CC=C2N1C(=O)COC(=O)CCOC3=CC=C(C=C3)C(C)(C)C)C,Active,53,,,=,4.48,0.66,0.612,"0,0,0,0,0,0,0,0,0,0",83.78,83.2767,69.5471,60.0463,49.1191,32.8949,22.1851,10.1187,8.08289,8.3521,"0,0,0,0,0,0,0,0,0,0",84.9233,78.9472,70.3312,65.2765,63.1965,43.8019,35.5481,24.4107,35.1519,22.2683
502,56436754,3225892,C1CC(CN(C1)S(=O)(=O)C2=CC=C(C=C2)Cl)C3=NC(=NO3)C4=CC=C(C=C4)F,Active,55,,,=,6.27,0.634,0.765,"1,1,0,0,0,0,0,0,0,0",,,72.7281,56.5124,47.8454,26.6474,26.5665,3.02798,11.7639,6.359,"1,1,0,0,0,0,0,0,0,0",,,69.193,62.2059,41.7934,40.6955,20.8251,18.4821,5.7449,14.2837
503,46501141,23641044,C1CCC(CC1)N2C(=O)[C@@H]3[C@H](C2=O)[C@@]4(C(=O)N(C(=O)N4[C@@H]3C5=CC=C(C=C5)F)C6=CC=CC=C6)CC7=CC=CC=C7,Active,53,,,=,11,2.23,0.715,"0,0,0,0,0,0,0,0,0,0",88.4494,77.2584,59.4078,45.0047,25.8828,20.0295,18.9449,18.8264,23.9215,18.708,"0,0,0,0,0,0,0,0,0,0",91.8885,82.2543,64.8028,37.322,13.7984,22.2525,17.5571,26.3665,21.2125,19.3871
504,57263293,7405539,COC1=CC=CC(=C1)CNC(=O)COC(=O)C2=C(C=CC(=C2)[N+](=O)[O-])N3CCCC3,Active,58,,,=,1.23,0.11,0.713,"0,0,0,0,0,0,0,0,0,0",99.5936,94.7754,90.6266,82.4214,74.6726,59.4409,52.9358,35.6494,24.0032,28.9459,"0,0,0,0,0,0,0,0,0,0",97.3317,96.3934,89.0276,83.2386,65.815,62.5814,46.9423,40.7259,17.7917,28.0668
505,85201751,44202833,C[C@@H]1CN(C(=O)C2=C(C(=CC=C2)NC(=O)NC3CCCCC3)O[C@@H]1CN(C)C(=O)NC4=CC=C(C=C4)C(F)(F)F)[C@H](C)CO,Active,58,,,=,2.26,0.063,1.383,"0,0,0,0,0,0,0,0,0,0",101.45,98.5615,95.73,90.581,74.9903,49.3537,33.3732,17.4917,9.0078,6.096,"0,0,0,0,0,0,0,0,0,0",101.065,98.1883,95.9154,89.0805,77.0683,52.1743,29.325,13.2634,5.53424,-1.31882
506,74373718,42601194,C[C@]12[C@H]([C@H]3COC4=C([C@@H]3N1C(=O)C5=C(C=CC(=C5)OC)NC2=O)C=C(C=C4)Cl)C6=CC=CC=C6,Active,54,,,=,18.8,1,1.084,"0,0,0,0,0,0,0,0,0,0",85.619,74.2555,46.1512,34.3382,18.2332,7.05064,8.37767,-0.173004,-3.63932,-2.01698,"0,0,0,0,0,0,0,0,0,0",77.1812,66.1059,57.4784,32.9947,17.6583,15.5155,5.41638,2.63183,-2.80354,-1.85869
507,85200889,44202009,C[C@H]1CN(C(=O)C2=C(C(=CC=C2)NC(=O)NC3=CC=C(C=C3)OC)O[C@@H]1CN(C)C(=O)NC4CCCCC4)[C@H](C)CO,Active,59,,,=,3.35,0.25,0.966,"0,0,0,0,0,0,0,0,0,0",91.6038,89.8174,83.1295,74.3315,59.0373,48.8122,23.3935,7.62085,2.74571,-0.401869,"0,0,0,0,0,0,0,0,0,0",92.7501,87.6047,86.618,72.2231,66.1578,38.3379,32.3964,25.121,13.5813,-0.181564
508,85198697,4787443,CN(CC1=C(C(=C(C=C1)OC)OC)OC)C(=O)COC(=O)C2=C(C=CC(=C2)[N+](=O)[O-])N3CCCC3,Active,57,,,=,6.71,0.36,1.203,"0,0,0,0,0,0,0,0,0,0",95.644,89.7035,75.3924,63.9863,40.7035,26.5192,10.9898,3.29239,-6.09669,-7.28285,"0,0,0,0,0,0,0,0,0,0",95.8171,87.5657,77.9688,60.0085,44.6291,23.0104,12.5508,7.82723,-3.00919,-7.17623
509,85302022,44263660,C1CCC(C1)CC[C@@]23[C@H](CC(C(=O)N2CCC4=C3NC5=CC=CC=C45)CC(=O)NCC6=CC=CO6)C(=O)N7CCOCC7,Active,55,,,=,0.778,0.204,0.57,"0,0,0,0,0,0,0,0,0,0",70.2147,74.0892,79.5141,85.1045,84.4729,73.3389,60.4192,37.4223,26.465,20.4757,"0,0,0,0,0,0,0,0,0,0",76.7142,75.4867,80.4278,91.3108,85.4235,80.4452,64.6008,53.1822,24.8782,31.5332
510,85301901,44263544,CC1=CC=C(C=C1)S(=O)(=O)N2[C@@H](CC=C([C@@H]2C3=CC=C(C=C3)C(C)(C)C)C(=O)O)C4=CC=C(C=C4)Cl,Active,54,,,=,11.3,1.17,1.406,"0,0,0,0,0,0,0,0,0,0",96.6476,90.778,67.0669,37.1924,25.83,9.92167,8.81099,-0.911593,6.34086,27.3889,"0,0,0,0,0,0,0,0,0,0",97.1945,94.7168,66.1827,40.2466,29.1125,22.8895,-2.76074,4.27371,-1.96189,-1.60036
511,92764023,282415,CC1=C(C2=C(C=C1)C(=O)C(=O)C3=C2C(=C(C=C3)C)C)C,Active,57,,,=,5.23,0.45,1.204,"0,0,0,0,0,0,0,0,0,0",94.8973,89.3163,84.0485,78.4306,45.3451,39.0089,17.1495,7.0266,10.8052,11.5656,"0,0,0,0,0,0,0,0,0,0",89.3102,87.0359,80.5092,69.543,49.586,24.1948,-0.45659,2.70029,7.40725,1.81991
512,99360432,46904834,CCCCCC(=O)OCC1=CC=C(C=C1)C2=CC(=O)CC(C2=O)(C)C,Active,57,,,=,6.78,0.258,1.194,"0,0,0,0,0,0,0,0,0,0",95.103,89.316,76.8452,62.9062,40.6061,23.7624,10.1075,6.73038,1.17584,0.731196,"0,0,0,0,0,0,0,0,0,0",95.142,88.9343,77.5625,59.7909,44.2952,22.0142,15.8718,1.51289,0.29883,-8.07259
513,26726055,652747,CC1=COC(=N1)NC(=O)CSC2=C(C(=CC(=N2)C3=CC=NC=C3)C(F)(F)F)C#N,Active,49,,,=,14.8,3.21,0.48,"0,0,0,0,0,0,0,0,0,0",64.2839,56.9854,49.2656,52.8574,52.8708,33.8347,14.6581,0.367438,4.64128,5.27777,"0,0,0,0,0,0,0,0,0,0",56.987,59.8446,53.4716,56.0988,47.3847,32.8967,25.8321,17.3742,5.51246,14.7704
514,862514,663743,CC(C)[C@@H](C1=NN=C(O1)S(=O)(=O)CC2=C(C=CC=C2Cl)F)NC(=O)OC(C)(C)C,Active,60,,,=,1.61,0.161,0.95,"0,0,0,0,0,0,0,0,0,0",97.8439,98.3027,96.4719,86.0309,79.2853,59.2667,53.8439,35.9897,12.1648,6.45122,"0,0,0,0,0,0,0,0,0,0",98.3365,96.1105,94.1389,83.7631,72.6801,53.1934,36.6435,19.0263,17.8609,28.6665
515,4263631,1083196,C1CCN(CC1)S(=O)(=O)C2=CC=C(C=C2)C3=CSC(=N3)C4=CN=CC=C4,Active,59,,,=,3.65,0.126,1.059,"0,0,0,0,0,0,0,0,0,0",95.891,93.8992,84.5682,72.5175,58.446,40.6125,26.6569,8.4429,6.89666,2.69906,"0,0,0,0,0,0,0,0,0,0",95.8842,91.0915,84.0954,75.4862,57.4038,45.1863,22.8434,15.6761,2.9684,-0.497719
516,7974980,1205752,C1CCN(C1)S(=O)(=O)C2=CC=CC(=C2)C(=O)C3=CC(=CC=C3)S(=O)(=O)N4CCCC4,Active,54,,,=,6.54,1.1,0.666,"0,0,0,0,0,0,0,0,0,0",86.1269,80.9591,69.874,61.9213,32.198,32.3397,13.9017,24.3999,5.89753,26.0084,"0,0,0,0,0,0,0,0,0,0",89.0527,84.5819,70.6953,47.6832,47.5463,21.6077,25.9179,33.933,22.9198,5.55242
517,4261854,1236900,C1CCN(C1)S(=O)(=O)C2=CC=C(C=C2)C3=CSC(=N3)NC(=O)C4=CC=CO4,Active,51,,,=,4.05,0.758,0.504,"0,0,0,0,0,0,0,0,0,0",75.2467,72.9496,74.6973,67.3108,60.5759,37.4793,32.456,7.52513,29.3283,5.44856,"0,0,0,0,0,0,0,0,0,0",74.1441,70.7256,69.3323,72.623,53.0036,46.5734,30.7356,38.7191,18.7057,28.2663
518,4261503,878649,CC1=NC2=C(C3=CC(=C(C=C13)OC)OC)C(=NO2)C4=CC=CC=C4,Active,47,,,=,19.4,7.54,0.343,"0,0,0,0,0,0,0,0,0,0",45.6318,50.0395,48.7934,58.6484,53.5053,43.122,27.2266,15.0216,6.99459,5.70262,"0,0,0,0,0,0,0,0,0,0",48.9723,50.0562,51.0094,58.1934,56.8536,40.4421,28.527,19.1954,8.48287,8.66672
519,14729913,3739568,CC1=NN(C(=O)N1N(C)C2=C(C=C(C=N2)C(F)(F)F)Cl)CC3=CC=C(C=C3)[N+](=O)[O-],Active,58,,,=,2.51,0.296,0.836,"0,0,0,0,0,0,0,0,0,0",96.2507,94.1153,92.6351,72.0187,61.7277,50.0503,26.5166,29.9292,8.87192,25.7859,"0,0,0,0,0,0,0,0,0,0",99.973,97.082,91.7978,79.1836,60.4859,40.829,35.9933,18.6054,24.2199,19.9779
