PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC50_Mean_Qualifier,IC50_Mean,IC50_Qualifier_1_Range1,IC50_1_Range1,Std.Err(IC50)_1_Range1,nH_1_Range1,Excluded_Points_first_point_Range1,% Activity at 66 uM_first_point_Range1,% Activity at 33 uM_first_point_Range1,% Activity at 16.5 uM_first_point_Range1,% Activity at 8.25 uM_first_point_Range1,% Activity at 4.125 uM_first_point_Range1,IC50_Qualifier_2_Range1,IC50_2_Range1,Std.Err(IC50)_2_Range1,nH_2_Range1,Excluded_Points_second_point_Range1,% Activity at 66 uM_second_point_Range1,% Activity at 33 uM_second_point_Range1,% Activity at 16.5 uM_second_point_Range1,% Activity at 8.25 uM_second_point_Range1,% Activity at 4.125 uM_second_point_Range1,IC50_Qualifier_1_Range2,IC50_1_Range2,Std.Err(IC50)_1_Range2,nH_1_Range2,Excluded_Points_first_point_Range2,% Activity at 66 uM_first_point_Range2,% Activity at 33 uM_first_point_Range2,% Activity at 16.5 uM_first_point_Range2,% Activity at 8.25 uM_first_point_Range2,% Activity at 4.125 uM_first_point_Range2,% Activity at 2.0625 uM_first_point_Range2,% Activity at 1.03125 uM_first_point_Range2,% Activity at 0.515625 uM_first_point_Range2,% Activity at 0.2578125 uM_first_point_Range2,% Activity at 0.1289062 uM_first_point_Range2
200,99495690,646090,CC=CCN1C2=C(N=C1SCC3=CC=CC=C3)N(C(=O)NC2=O)C,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-0.612159,-3.23489,4.41473,6.49106,7.69314,>,66,,,"0,0,0,0,0",-2.79309,-3.10912,-0.15961,6.16075,0.367087,,,,,,,,,,,,,,,
201,26724379,4091306,CC1=C(C=C(C=C1)S(=O)(=O)N2CCCCC2)NC(=S)NC(=O)C3=CC=CO3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",2.66625,6.8189,8.78595,6.60034,4.85186,>,66,,,"0,0,0,0,0",4.47532,6.16075,-0.896982,1.7365,-4.47853,,,,,,,,,,,,,,,
202,93576704,5392,COP(=S)(OC)OC1=CC=C(C=C1)SC2=CC=C(C=C2)OP(=S)(OC)OC,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",6.38178,4.52401,8.34882,9.98803,2.11985,>,66,,,"0,0,0,0,0",11.9544,6.5821,4.36998,5.31803,4.89668,,,,,,,,,,,,,,,
203,26669877,16717706,C[C-]1[C-]([C-]([C-]([C-]1C)C)C)C.C1CCN(C1)C2=CC=NC3=CC=C[C-]32.[Fe],Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",4.74258,3.32193,4.08689,1.35488,1.46417,>,66,,,"0,0,0,0,0",8.68889,-2.58242,-3.31979,-4.79453,0.577762,,,,,,,,,,,,,,,
204,49825518,24818987,C1CCC(CC1)N2CCN(CC2)C(=O)C3=C(N4C=CC=CC4=N3)CN5CCCC(C5)O,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",16.4458,7.85547,2.09234,-3.99699,0.787487,>,66,,,"0,0,0,0,0",19.1239,4.16837,1.58983,-4.49555,-11.3029,,,,,,,,,,,,,,,
205,26669764,4063939,CC1=CC2=C(N1C)C=CC(=C2)CNC(=O)C3=CC=C(O3)Br,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",12.9662,9.48654,4.91954,2.30982,5.46323,>,66,,,"0,0,0,0,0",35.8329,27.0659,16.1328,9.01603,0.352111,>,66,,,"0,0,0,0,0,0,0,0,0,0",73.6286,46.3438,32.7554,30.0592,14.6374,8.70597,3.31372,6.11768,-2.94128,7.62752
206,24819803,2765972,CCC1=C(NC(=O)N1CC)C(C)S(=O)(=O)C2=CC=CC=C2,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-3.56204,-3.01835,-2.25718,0.461269,-1.60475,>,66,,,"0,0,0,0,0",-4.49555,-4.28927,-16.46,-6.35211,-8.10552,,,,,,,,,,,,,,,
207,17514970,12005924,CC1=CC=C(C=C1)NC(=O)CSC2=NCCN2.Cl,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-1.06106,1.98361,8.94285,3.72341,2.41856,>,66,,,"0,0,0,0,0",-12.5406,-12.85,-5.01126,-3.67041,-1.50443,,,,,,,,,,,,,,,
208,24801561,799882,C1CCN(CC1)C(=S)C2=CC(=CC=C2)O,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",3.07099,-1.06106,5.02828,3.17972,8.18168,>,66,,,"0,0,0,0,0",-11.9218,-14.0877,-7.89924,-1.60758,-4.3924,,,,,,,,,,,,,,,
209,3711437,2997638,CC1=CC=CC2=NC(=CN12)CSCC3=CC=CO3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",5.02828,3.94089,7.74673,4.04963,0.787487,>,66,,,"0,0,0,0,0",-10.2715,-6.24896,-3.1547,-9.65264,-6.86782,,,,,,,,,,,,,,,
210,4251637,3245297,CC1=CC=CN2C1=NC3=C(C2=O)C=C(C(=N)N3CCOCCO)C(=O)NCC4=CC=CO4,Active,55,,,=,15.2,=,22.572,,1,"0,0,0,0,0",97.4086,75.1299,58.2147,35.9361,16.958,=,12.369,,1,"0,0,0,0,0",82.6673,61.0284,39.7157,23.0788,10.7914,>,66,,1.303,"0,0,0,0,0,0,0,0,0,0",131.326,107.923,118.6,78.0502,52.9224,-13.2944,21.216,32.5397,-106.257,18.1963
211,24780044,1728325,CC1=CC=C(C=C1)C(=O)NC(=S)NNS(=O)(=O)C2=CC=CC=C2,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",6.65935,3.3972,1.1137,1.76613,-4.3232,>,66,,,"0,0,0,0,0",-1.50443,-8.00237,-4.3924,-13.2626,2.82752,,,,,,,,,,,,,,,
212,22416940,896937,C1CN(CCN1C2=NC=CC=N2)C(=O)/C=C/C3=CC=CO3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-10.7387,-4.75816,-1.1698,-5.41058,-6.38923,>,66,,,"0,0,0,0,0",-24.1956,-20.4825,-15.2223,-14.294,-14.8097,,,,,,,,,,,,,,,
213,3716574,2999671,CCN1C2=C(C=C(C=C2)C(=O)O)N=C1CSC3=NC=CN3C,Inactive,41,,,=,36.67,>,66,,,"0,0,0,0,0",49.59,32.4574,17.7103,9.68621,7.95126,=,25.158,,1,"0,0,0,0,0",70.3981,55.3174,39.2941,27.041,17.3013,=,21.51,,1.13,"0,0,0,0,0,0,0,0,0,0",93.0406,74.1678,54.7557,34.2652,19.5983,18.412,7.08829,7.51967,7.08829,8.59812
214,7977932,873462,C1=CC(=C(C=C1NC(=O)CSC(=O)N)Cl)Cl,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",15.6501,15.6501,19.7706,14.891,17.8188,>,66,,,"0,0,0,0,0",24.0039,20.4431,19.9195,18.2439,21.281,,,,,,,,,,,,,,,
215,22412301,4390439,CC1=C(C(=O)N(N1)C2=CC=CC=C2)C(C3=CC=C(C=C3)C(=O)O)C4=C(NN(C4=O)C5=CC=CC=C5)C,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",13.1561,5.67415,8.81873,16.0838,8.7103,>,66,,,"0,0,0,0,0",24.9464,24.3181,15.2068,20.0242,14.7879,,,,,,,,,,,,,,,
216,4242774,3237586,CC(=O)C1=C(NC(=C1)C2=CC=CC=C2)N3CCOCC3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",3.93919,4.69824,8.7103,8.60187,4.37293,>,66,,,"0,0,0,0,0",18.0344,17.7202,20.7573,13.4264,15.1021,,,,,,,,,,,,,,,
217,87335718,237490,C1=CC=C(C=C1)CCNC2=C(C(=O)C3=CC=CC=C3C2=O)Cl,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",28.2284,25.3007,25.9513,25.626,8.49343,>,66,,,"0,0,0,0,0",18.0344,23.585,20.7573,28.9261,19.9195,,,,,,,,,,,,,,,
218,49647025,2004045,COCCCNC1=NC2=CC=CC=C2N=C1NS(=O)(=O)C3=CC(=CC=C3)Cl,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",16.626,17.2766,11.8549,14.6742,11.7465,>,66,,,"0,0,0,0,0",27.6693,29.5544,27.9835,21.6999,21.281,,,,,,,,,,,,,,,
219,17387654,851056,C1CSC2=NC(=O)/C(=C/C3=CC=CC=C3Cl)/N21,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",7.84283,11.7465,8.7103,3.39702,3.39702,>,66,,,"0,0,0,0,0",11.4366,12.9028,9.13259,12.798,9.2373,,,,,,,,,,,,,,,
220,49665499,135537509,C1=CC(=C(C=C1Cl)/C=N/N2C(=NN=N2)N)O,Inactive,41,,,=,38.81,>,66,,,"0,0,0,0,0",18.0356,19.6622,22.5899,11.3127,10.3368,>,66,,,"0,0,0,0,0",38.0374,40.5508,34.0577,28.6119,24.9464,=,8.429,,1.538,"0,0,0,0,0,0,0,0,0,0",42.4614,47.8537,37.5005,22.4023,23.8042,11.5099,7.51967,7.41182,10.2158,9.24519
221,49673757,3959703,C1CC2=C(C(NC(=O)N2)C3=CC=CC=C3[N+](=O)[O-])C(=O)C1,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",6.54161,4.80667,7.73439,4.48136,6.75849,>,66,,,"0,0,0,0,0",26.3079,16.7777,21.0715,25.5748,16.4635,,,,,,,,,,,,,,,
222,16952891,4875293,C1C2CC3CC1CC(C2)(C3)NC(=O)CN4C(=O)C5=CC=CC=C5S4,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",6.70962,4.52401,5.39826,-0.0658,2.33841,>,66,,,"0,0,0,0,0",-2.79309,-1.31835,5.84473,3.31659,5.52871,,,,,,,,,,,,,,,
223,121282725,51358972,CCOC1=CC2=C([C@H]3[C@@H]1[C@@H](N(C3)S(=O)(=O)C4=CC=C(C=C4)C)C5=CC=CC=C5)C(=O)C(=CC2=O)Cl,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",17.2069,16.4458,16.8807,16.4458,8.50789,>,66,,,"0,0,0,0,0",7.36576,3.75579,10.3569,4.2715,4.37465,,,,,,,,,,,,,,,
224,121285253,51360589,CCCC1=C(N2C=C(C=CC2=N1)Cl)CC3=CSC=C3,Inactive,41,,,=,59.27,>,66,,,"0,0,0,0,0",45.3701,27.8633,17.6419,16.4458,7.9642,=,39.091,,1,"0,0,0,0,0",64.6095,45.8377,27.6847,16.8548,10.2537,>,66,,,"0,0,0,0,0,0,0,0,0,0",98.6486,71.1481,50.0105,30.4906,20.6767,9.02949,7.62752,2.01957,2.99019,-0.245159
225,24813496,16194037,CC(C1=CC=CC=C1)N2CCC3=C(C2)C(=O)NC(=S)N3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",8.18168,6.76809,1.98361,1.98361,7.42051,>,66,,,"0,0,0,0,0",6.64377,6.23121,2.31182,4.16837,3.13695,,,,,,,,,,,,,,,
226,49643760,3107224,CC1=CC=C(C=C1)C2N(C(=O)CS2)C3=CC=CC=C3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",12.205,6.11566,7.0943,5.24575,2.85351,>,66,,,"0,0,0,0,0",2.20867,6.23121,3.44637,7.26262,-3.67041,,,,,,,,,,,,,,,
227,14742056,9551746,C1=CC(=CC=C1F)SCCC2=CC=[NH+]C=C2.[Cl-],Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",2.63603,3.61468,6.22439,3.07099,10.4652,>,66,,,"0,0,0,0,0",2.72438,2.82752,2.10553,1.2804,3.96207,,,,,,,,,,,,,,,
228,17505014,3158154,C1CC2=C(C1)SC(=C2C#N)NC(=O)C3CC(=NO3)C4=CC=CC=C4O,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",0.352533,2.09234,4.37585,-1.93097,5.46323,>,66,,,"0,0,0,0,0",-6.76467,3.54951,2.10553,7.36576,2.5181,,,,,,,,,,,,,,,
229,49817866,2909987,C1CSC(=O)C1NC(=S)NC(=O)C2=CC=C(C=C2)[N+](=O)[O-],Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",10.4652,19.8167,7.74673,6.33313,6.11566,>,66,,,"0,0,0,0,0",7.05633,8.91288,4.06522,10.9757,6.12806,,,,,,,,,,,,,,,
230,17412635,135501763,C1CCN(C1)C2=NC(=NC(=C2)N/N=C/C3=CC=C(C=C3)O)N4CCCC4,Inactive,41,,,=,34.43,>,66,,,"0,0,0,0,0",16.8807,27.7545,30.473,27.7545,19.8167,>,66,,,"0,0,0,0,0",28.8193,36.4518,39.2366,33.0481,27.6847,=,1.753,,1.494,"0,0,0,0,0,0,0,0,0,0",48.7164,55.0793,60.6872,57.4518,49.4713,25.0984,28.8729,17.9806,12.9119,5.03923
231,857066,658426,CCN1CCC2=C(C1)C(=NC(=C2C#N)N3CCOCC3)NCCO,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",25.5798,10.6827,11.0089,2.96225,1.87487,>,66,,,"0,0,0,0,0",27.6847,20.7742,10.0474,4.58093,2.62124,,,,,,,,,,,,,,,
232,56317335,24979748,CCOC(=O)C1CCCN(C1)C(=O)C2=CC=C(O2)C3=CC=C(C=C3)[N+](=O)[O-],Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",5.24575,3.83216,4.15837,2.85351,0.352533,>,66,,,"0,0,0,0,0",-3.56727,0.455259,-1.81386,-0.163599,5.7155,,,,,,,,,,,,,,,
233,47198875,139030,C1=CC2=C3C(=C1)C(=CC(=O)C3=CC=C2)O,Inactive,41,,,=,34.52,=,25.38,,1,"0,0,0,0,0",99.9871,75.6457,53.0576,32.4292,22.7339,=,12.681,,1,"0,0,0,0,0",78.2091,56.3527,36.0187,21.8827,15.1409,=,34.029,,1.146,"0,0,0,0,0,0,0,0,0,0",105.222,74.0141,45.4812,16.0567,1.56737,7.69748,-1.77632,-5.34293,-10.9157,-9.46681
234,24829795,16196178,CCOC1=CC=C(C=C1)C2=CSC(=N2)NNC3=NCCCCC3.Br,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-0.517367,-0.299894,-0.626112,0.896224,-0.191158,>,66,,,"0,0,0,0,0",3.54951,1.38353,1.38353,-2.639,-6.45524,,,,,,,,,,,,,,,
235,24815538,7207483,C1=CC(=CN=C1)C2=NN=C(C=C2)SCC(=O)C3=CC=C(C=C3)[N+](=O)[O-],Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",2.63603,10.9001,7.31178,6.22439,1.43991,>,66,,,"0,0,0,0,0",-0.0605,8.7066,0.661539,-2.43271,9.32546,,,,,,,,,,,,,,,
236,24825002,3590153,CC1CCCCC1NC(=O)CN2C(=O)C3=C(C2=O)C(=CC=C3)N,Inactive,41,,,=,35.45,>,66,,,"0,0,0,0,0",19.0555,21.8827,23.7312,20.3604,9.16032,>,66,,,"0,0,0,0,0",26.3438,40.4743,36.2455,32.2229,16.6485,=,4.121,,2.166,"0,0,0,0,0,0,0,0,0,0",45.5889,63.4911,58.5303,50.3341,30.2749,25.8533,18.0885,7.41182,17.5492,11.7256
237,24836386,135519989,COC1=CC(=C(C=C1)O)/C=N/NC(=S)NC2=CN=CC=C2,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-0.734849,6.33313,7.42051,5.46323,8.18168,>,66,,,"0,0,0,0,0",-2.22643,-0.988721,0.455259,4.58093,2.20867,,,,,,,,,,,,,,,
238,24831746,2084247,CCCCNC(=O)CN1C(=O)C2=C(C1=O)C(=CC=C2)N,Inactive,41,,,=,31.6,=,39.415,,1,"0,0,0,0,0",94.3143,66.5692,40.268,22.0119,20.2585,=,18.46,,1,"0,0,0,0,0",66.3566,44.0653,28.8419,15.4671,8.29042,=,25.966,,1.376,"0,0,0,0,0,0,0,0,0,0",118.708,89.9132,63.4911,39.3339,25.4219,16.3629,19.814,15.3924,24.2356,12.4805
239,49674159,1266032,C1=CC=C(C(=C1)C(=O)SC2=CC=CC3=C2N=CC=C3)Br,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-0.843585,5.13701,4.59332,10.0302,7.20304,>,66,,,"0,0,0,0,0",1.48668,-1.81386,7.98461,7.15948,9.53174,,,,,,,,,,,,,,,
240,7970700,3448473,C1=CC=C(C=C1)N2C(=O)C3=C(C2=O)C(=CC=C3)N,Inactive,41,,,=,24,=,29.609,,1,"0,0,0,0,0",97.3054,71.9326,52.3356,34.2858,22.837,=,13.151,,1,"0,0,0,0,0",77.5566,50.1546,31.6691,19.7079,13.2924,=,27.832,,1.13,"0,0,0,0,0,0,0,0,0,0",106.521,82.9032,59.0695,37.8241,24.9905,15.5002,20.1375,15.0688,8.92165,11.7256
241,17409002,4176759,CCCOC1=CC=C(C=C1)C(=O)NNC(=S)NC(=O)C2=CC(=NC3=CC=CC=C32)C4=CC=C(C=C4)Cl,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",3.61468,2.63603,8.18168,-16.3931,-34.8786,>,66,,,"0,0,0,0,0",5.61235,5.61235,7.46891,-88.7624,-9.5495,,,,,,,,,,,,,,,
242,26664442,3720756,CCCNC1=CC(=S)N=C(N1)N,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",5.6807,0.570014,-0.952322,0.787487,2.30982,>,66,,,"0,0,0,0,0",12.7291,4.99349,-2.22643,3.65266,-0.266731,,,,,,,,,,,,,,,
243,26671506,135400403,C1=CC=C2C(=C1)C=CC(=C2/C=N/NC(=S)N)O,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-5.41058,1.76613,5.57197,0.678751,1.00496,>,66,,,"0,0,0,0,0",-12.7469,-3.97984,3.75579,2.82752,6.43749,,,,,,,,,,,,,,,
244,26726894,2801915,CCN(CC)C(=O)CSC1=NN=C2N1C3=C(C=C(C=C3)C)N=N2,Inactive,41,,,=,49.78,>,66,,,"0,0,0,0,0",25.2536,11.6613,9.81276,5.6807,6.00692,>,66,,,"0,0,0,0,0",48.2099,23.559,17.8862,10.3569,3.0338,=,43.814,,0.963,"0,0,0,0,0,0,0,0,0,0",116.119,88.5112,63.9225,48.285,28.7651,26.7161,21.6473,26.7161,18.7355,14.8531
245,7976328,762542,CC(=O)N1C2=CC=CC=C2C3=C1C4=CC=CC=C4N3C,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",3.94089,2.63603,5.89818,8.18168,2.96225,>,66,,,"0,0,0,0,0",4.99349,-5.8364,2.10553,-1.71073,-1.50443,,,,,,,,,,,,,,,
246,24815505,7207422,C1=CC=C(C=C1)C(=O)CSC2=NN=C(C=C2)C3=CC=NC=C3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",7.20304,4.81079,9.70401,9.81276,6.76809,>,66,,,"0,0,0,0,0",6.74692,4.99349,0.661539,4.58093,0.661539,,,,,,,,,,,,,,,
247,17432499,1627855,COC1=NC(=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)NC(=S)NC(=O)C3=C(C4=CC=CC=C4S3)Cl)OC,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",5.6807,2.74478,4.48459,4.59332,2.09234,>,66,,,"0,0,0,0,0",-9.13693,-0.473011,2.5181,2.31182,5.61235,,,,,,,,,,,,,,,
248,7975378,135406278,CC1=CC(=C(C(=C1CSC2=NC(=CC(=O)N2)C)C)C(=O)C)C,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-34.1175,-22.1563,3.61468,5.13701,0.570014,>,66,,,"0,0,0,0,0",-90.7221,-8.62122,0.558407,3.24009,-2.22643,,,,,,,,,,,,,,,
249,7978440,888356,CCNC1=CC2=C(C=C1C)C(=C(C(=O)O2)CN3CCOCC3)C,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",6.44187,9.59528,6.33313,2.09234,3.83216,>,66,,,"0,0,0,0,0",4.47778,4.2715,6.74692,2.5181,-6.14581,,,,,,,,,,,,,,,
250,17505716,2210746,COC1=C2C=CC=C3C2=C(C=C1)C(=O)N(C3=O)O,Inactive,41,,,=,35.2,=,27.52,,1,"0,0,0,0,0",99.162,67.8069,38.4115,28.4067,18.4019,=,17.159,,1,"0,0,0,0,0",72.5547,52.8731,35.475,24.7099,14.5972,=,60.907,,1.024,"0,0,0,0,0,0,0,0,0,0",103.327,57.63,37.2334,8.03185,-1.21904,-15.2625,-21.0583,-2.89089,-19.275,-14.4824
251,49641134,3146295,COC1=NC=C(C=C1)NC2=NC=C(C=C2)[N+](=O)[O-],Inactive,41,,,=,59.6,>,66,,,"0,0,0,0,0",43.3041,25.2536,16.9895,13.0749,6.65935,=,40.436,,1,"0,0,0,0,0",63.3718,47.1785,27.7878,13.348,7.77834,>,66,,,"0,0,0,0,0,0,0,0,0,0",83.0111,59.9323,30.8142,20.7846,16.7943,10.0001,-1.00007,10.6472,5.68631,-0.892235
252,4245484,3239950,CCN1CN(C(=S)SC1)CC2=CC=C(C=C2)OC,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",11.1176,11.6613,6.22439,8.72537,10.4652,>,66,,,"0,0,0,0,0",12.2134,3.75579,7.36576,3.44637,11.3883,,,,,,,,,,,,,,,
253,85302338,3093479,COC1=CC(=C(C=C1)NC(=S)NC(C(Cl)(Cl)Cl)NC(=O)C2=CC(=CC=C2)Cl)[N+](=O)[O-],Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",7.20304,4.91954,8.29042,4.70206,5.57197,>,66,,,"0,0,0,0,0",7.57204,8.91288,1.2804,0.661539,-3.25785,,,,,,,,,,,,,,,
254,22401903,3965439,CC1=CC(=C(N1C(C)COC)C)C(=O)COC(=O)C2=CC3=C(C=C2)SCC(=O)N3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",1.54865,2.30982,4.91954,5.57197,7.42051,>,66,,,"0,0,0,0,0",0.455259,2.20867,6.02491,-0.679308,3.54951,,,,,,,,,,,,,,,
255,17386862,849564,CC1=C2C=CC=CN2C3=C(C(=CC3=C1C)C(=O)OC)C(=O)OC,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",3.50594,3.50594,1.87487,1.76613,0.678751,>,66,,,"0,0,0,0,0",28.3036,28.3036,37.5863,27.4784,-7.0741,>,66,,,"0,0,0,0,0,0,0,0,0,0",72.2266,16.9022,20.6767,31.0298,13.1276,15.2845,7.95104,6.98044,-2.94128,7.73535
256,14741318,914061,CC1=CC(=NC(=N1)SCNC(=O)C2=CC=C(C=C2)Cl)C,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",3.72341,5.78944,4.91954,0.243796,2.30982,>,66,,,"0,0,0,0,0",0.352111,-0.78244,11.2851,-1.09187,-0.988721,,,,,,,,,,,,,,,
257,24805994,803256,C1=CC2=C(C(=C1)NC(=S)NC(=O)C3=CC=CS3)N=CC=C2,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-5.30185,-5.7368,-2.36592,1.98361,6.00692,>,66,,,"0,0,0,0,0",-8.41494,-11.7155,-7.89924,-4.59868,-1.81386,,,,,,,,,,,,,,,
258,856661,658013,CCC(C(=O)OCC)SC1=NC2=C(N1CCC3=CC=CC=C3)C(=O)NC(=O)N2C,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",8.83411,7.63799,6.65935,11.8788,7.42051,>,66,,,"0,0,0,0,0",-2.84528,2.00239,10.9757,9.53174,6.74692,,,,,,,,,,,,,,,
259,121286501,51361669,CN1CCCC2=C1C=CC(=C2)CN(C)C(=O)[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=CC(=O)NC4=O)O)O,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-9.32516,2.63603,-0.952322,1.76613,8.72537,>,66,,,"0,0,0,0,0",-5.21754,1.69296,1.38353,4.58093,2.00239,,,,,,,,,,,,,,,
260,24789819,1937328,C1=CC(=CN=C1)C(=O)NC(=S)NC2=CC=C(C=C2)S(=O)(=O)NC3=NC=CS3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",19.3817,13.8361,11.8788,10.139,-0.191158,>,66,,,"0,0,0,0,0",26.0344,20.8773,14.4825,4.78721,7.05633,,,,,,,,,,,,,,,
261,24821021,2937312,C1C(C(=O)N(C1=O)C2=CC3=C(C=C2)OCO3)SC4=CC=CC=C4C(=O)O,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-0.952322,6.00692,7.52925,5.57197,2.96225,>,66,,,"0,0,0,0,0",0.558407,-0.163599,6.64377,3.44637,2.00239,,,,,,,,,,,,,,,
262,57265219,4789612,CC(=O)NC1=CC=C(C=C1)SCC(=O)NC(=O)C2=CC=CC=C2Br,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",6.22439,2.96225,5.13701,5.78944,5.24575,>,66,,,"0,0,0,0,0",-3.05156,9.53174,8.60346,2.20867,4.37465,,,,,,,,,,,,,,,
263,49717551,1329041,CC1=C(C=CC=C1NC(=S)NC(=O)C2=CC=CC3=CC=CC=C32)C(=O)O,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",8.18168,5.89818,3.61468,5.35449,3.17972,>,66,,,"0,0,0,0,0",6.54062,6.74692,4.47778,-0.473011,3.54951,,,,,,,,,,,,,,,
264,4250626,3244412,CC1=NC(=CC=C1)NC(=O)C(C2=CC=CC=C2)NS(=O)(=O)C3=CC4=C(C=C3)NC(=O)CC4,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",3.50594,1.98361,4.48459,4.81079,4.81079,>,66,,,"0,0,0,0,0",-1.81386,-2.74214,3.54951,3.54951,6.43749,,,,,,,,,,,,,,,
265,4248663,3242715,CC1=C(C=C(C=C1)C(=O)NC2=C(SCC2)C(=O)OC)C,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",1.76613,5.78944,-0.843585,6.22439,4.70206,>,66,,,"0,0,0,0,0",-2.02014,-0.473011,-2.84528,1.17725,1.69296,,,,,,,,,,,,,,,
266,49668067,20887719,CCC1=NC2=C(N1C3=CC=C(C=C3)C(=O)O)N=CC=C2,Inactive,41,,,=,49.5,>,66,,,"0,0,0,0,0",41.3468,28.8419,15.4671,13.6186,6.55061,=,49.537,,1,"0,0,0,0,0",56.6675,38.6177,27.9941,13.8637,6.64377,>,66,,,"0,0,0,0,0,0,0,0,0,0",76.5404,56.3734,32.6475,17.6571,14.206,8.16674,-2.29422,3.20587,-3.69619,-1.755
267,4259218,135413965,CCCC1=CC(=O)NC(=N1)SCC(=O)NC2=NON=C2N,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",7.31178,3.94089,6.87682,2.30982,-1.60475,>,66,,,"0,0,0,0,0",5.09664,5.5092,-4.3924,-0.266731,2.10553,,,,,,,,,,,,,,,
268,85146245,44142168,COC1=CC=CC(=C1OC)NC2=CC=C(C=C2)N3CCCCC3,Inactive,41,,,=,21.4,>,66,,,"0,0,0,0,0",28.6244,26.6672,19.3817,15.9021,7.74673,=,53.511,,1,"0,0,0,0,0",44.4968,39.1334,30.6758,21.1868,10.6663,=,5.169,,2.52,"0,0,0,0,0,0,0,0,0,0",67.05,74.4913,69.3148,54.4322,39.5496,16.1473,15.2845,15.9316,17.5492,17.2257
269,99359852,44602378,C1=CC=C(C=C1)N2C(=O)C3=C(S2)C=C(C=C3)C#N,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",-5.08437,-2.69213,2.20109,7.20304,-0.0824,>,66,,,"0,0,0,0,0",-14.9129,-1.81386,-3.25785,1.2804,-6.76467,,,,,,,,,,,,,,,
